strategyA,strategyB,sideA,sideB,type,entryA_ts,entryB_ts,exitA_ts,exitB_ts,exit_first_ts,overlap_start_et,overlap_end_et,overlap_minutes,pnlA,pnlB,joint_pnl,tradeA_id,tradeB_id
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774266360000,1745586300000,1774266420000,1745586300000,2026-03-23 07:46:00,2025-04-25 09:05:00,0.00,60,-1035,-975,gex-flip-ivpct:T000041,gex-lt-3m:T000862
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774267260000,1745415600000,1774268340000,1745415600000,2026-03-23 08:01:00,2025-04-23 09:40:00,0.00,255,2410,2665,gex-flip-ivpct:T000040,gex-lt-3m:T000863
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774267260000,1745586300000,1774268340000,1745586300000,2026-03-23 08:01:00,2025-04-25 09:05:00,0.00,60,2410,2470,gex-flip-ivpct:T000041,gex-lt-3m:T000863
gex-flip-ivpct,gex-lt-3m,long,short,conflict,1745415600000,1774269060000,1745415600000,1774269660000,1745415600000,2026-03-23 08:31:00,2025-04-23 09:40:00,0.00,255,-1030,-775,gex-flip-ivpct:T000040,gex-lt-3m:T000864
gex-flip-ivpct,gex-lt-3m,long,short,conflict,1745586300000,1774269060000,1745586300000,1774269660000,1745586300000,2026-03-23 08:31:00,2025-04-25 09:05:00,0.00,60,-1030,-970,gex-flip-ivpct:T000041,gex-lt-3m:T000864
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745415600000,1774270860000,1745415600000,1774272313000,1745415600000,2026-03-23 09:01:00,2025-04-23 09:40:00,0.00,255,2270,2525,gex-flip-ivpct:T000040,gex-level-fade:T001023
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745586300000,1774270860000,1745586300000,1774272313000,1745586300000,2026-03-23 09:01:00,2025-04-25 09:05:00,0.00,60,2270,2330,gex-flip-ivpct:T000041,gex-level-fade:T001023
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774273560000,1745415600000,1774275720000,1745415600000,2026-03-23 09:46:00,2025-04-23 09:40:00,0.00,255,2415,2670,gex-flip-ivpct:T000040,gex-lt-3m:T000865
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774273560000,1745586300000,1774275720000,1745586300000,2026-03-23 09:46:00,2025-04-25 09:05:00,0.00,60,2415,2475,gex-flip-ivpct:T000041,gex-lt-3m:T000865
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745415600000,1774273800000,1745415600000,1774273964000,1745415600000,2026-03-23 09:50:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001024
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745586300000,1774273800000,1745586300000,1774273964000,1745586300000,2026-03-23 09:50:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001024
gex-level-fade,gex-lt-3m,short,long,conflict,1774273800000,1774273560000,1774273964000,1774275720000,1774273964000,2026-03-23 09:50:00,2026-03-23 09:52:44,2.73,-395,2415,2020,gex-level-fade:T001024,gex-lt-3m:T000865
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745415600000,1774274580000,1745415600000,1774275348000,1745415600000,2026-03-23 10:03:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001025
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745586300000,1774274580000,1745586300000,1774275348000,1745586300000,2026-03-23 10:03:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001025
gex-level-fade,gex-lt-3m,short,long,conflict,1774274580000,1774273560000,1774275348000,1774275720000,1774275348000,2026-03-23 10:03:00,2026-03-23 10:15:48,12.80,-395,2415,2020,gex-level-fade:T001025,gex-lt-3m:T000865
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745415600000,1774275720000,1745415600000,1774275795000,1745415600000,2026-03-23 10:22:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001026
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745586300000,1774275720000,1745586300000,1774275795000,1745586300000,2026-03-23 10:22:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001026
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774288860000,1745415600000,1774294260000,1745415600000,2026-03-23 14:01:00,2025-04-23 09:40:00,0.00,255,130,385,gex-flip-ivpct:T000040,gex-lt-3m:T000866
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774288860000,1745586300000,1774294260000,1745586300000,2026-03-23 14:01:00,2025-04-25 09:05:00,0.00,60,130,190,gex-flip-ivpct:T000041,gex-lt-3m:T000866
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745415600000,1774357680000,1745415600000,1774357728000,1745415600000,2026-03-24 09:08:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001027
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745586300000,1774357680000,1745586300000,1774357728000,1745586300000,2026-03-24 09:08:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001027
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745415600000,1774358761000,1745415600000,1774358846000,1745415600000,2026-03-24 09:26:01,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001028
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745586300000,1774358761000,1745586300000,1774358846000,1745586300000,2026-03-24 09:26:01,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001028
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774366260000,1745415600000,1774367820000,1745415600000,2026-03-24 11:31:00,2025-04-23 09:40:00,0.00,255,-1035,-780,gex-flip-ivpct:T000040,gex-lt-3m:T000867
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774366260000,1745586300000,1774367820000,1745586300000,2026-03-24 11:31:00,2025-04-25 09:05:00,0.00,60,-1035,-975,gex-flip-ivpct:T000041,gex-lt-3m:T000867
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774369860000,1745415600000,1774370220000,1745415600000,2026-03-24 12:31:00,2025-04-23 09:40:00,0.00,255,-1035,-780,gex-flip-ivpct:T000040,gex-lt-3m:T000868
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774369860000,1745586300000,1774370220000,1745586300000,2026-03-24 12:31:00,2025-04-25 09:05:00,0.00,60,-1035,-975,gex-flip-ivpct:T000041,gex-lt-3m:T000868
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774377960000,1745415600000,1774380900000,1745415600000,2026-03-24 14:46:00,2025-04-23 09:40:00,0.00,255,-1035,-780,gex-flip-ivpct:T000040,gex-lt-3m:T000869
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774377960000,1745586300000,1774380900000,1745586300000,2026-03-24 14:46:00,2025-04-25 09:05:00,0.00,60,-1035,-975,gex-flip-ivpct:T000041,gex-lt-3m:T000869
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745415600000,1774444081000,1745415600000,1774444175000,1745415600000,2026-03-25 09:08:01,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001029
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745586300000,1774444081000,1745586300000,1774444175000,1745586300000,2026-03-25 09:08:01,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001029
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774446360000,1745415600000,1774446600000,1745415600000,2026-03-25 09:46:00,2025-04-23 09:40:00,0.00,255,-1035,-780,gex-flip-ivpct:T000040,gex-lt-3m:T000870
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774446360000,1745586300000,1774446600000,1745586300000,2026-03-25 09:46:00,2025-04-25 09:05:00,0.00,60,-1035,-975,gex-flip-ivpct:T000041,gex-lt-3m:T000870
