date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-23,2025Q1,RN2,-1,6113.25,5.07,-0.68,6113.93,6120.0,6103.12,stop,-7.25,-1.074,6.75,1.25,6.75
2025-01-24,2025Q1,RN0,1,6129.75,6.4,-0.1,6129.65,6122.25,6141.0,timeout,-5.25,-0.7,7.5,3.5,6.25
2025-01-24,2025Q1,RN2,1,6149.0,4.42,-0.08,6148.92,6143.5,6157.25,timeout,6.75,1.227,5.5,7.0,4.25
2025-01-24,2025Q1,RN1,-1,6149.5,4.34,-0.66,6150.16,6155.5,6140.5,target,9.0,1.5,6.0,9.0,0.75
2025-01-27,2025Q1,RN2,1,6021.75,5.9,-0.6,6021.15,6014.25,6033.0,target,11.25,1.5,7.5,11.5,2.5
2025-01-27,2025Q1,RN2,1,6023.75,4.4,-2.6,6021.15,6015.75,6035.75,stop,-8.5,-1.062,8.0,5.5,8.25
2025-01-27,2025Q1,RN1,-1,6027.0,5.33,-1.17,6028.17,6034.5,6015.75,stop,-8.0,-1.067,7.5,3.5,8.5
2025-01-27,2025Q1,RN1,-1,6027.5,4.58,-0.67,6028.17,6033.75,6018.12,target,9.38,1.5,6.25,10.0,4.0
2025-01-27,2025Q1,RN3,-1,6031.75,4.77,-1.23,6032.98,6038.75,6021.25,target,10.5,1.5,7.0,11.25,0.0
2025-01-28,2025Q1,RN0,1,6065.75,4.47,-0.03,6065.72,6060.25,6074.0,stop,-6.0,-1.091,5.5,5.0,5.5
2025-01-28,2025Q1,RN0,1,6067.0,5.47,-1.28,6065.72,6059.25,6078.62,target,11.62,1.5,7.75,11.75,5.5
2025-01-28,2025Q1,RN0,1,6068.25,4.47,-2.53,6065.72,6060.25,6080.25,stop,-8.5,-1.062,8.0,2.5,8.0
2025-01-29,2025Q1,RN2,1,6071.5,4.51,-0.24,6071.26,6065.75,6080.12,eod,-1.0,-0.174,5.75,3.5,3.25
2025-01-29,2025Q1,RN0,1,6080.75,6.24,-0.01,6080.74,6073.5,6091.62,timeout,-5.75,-0.793,7.25,10.5,6.0
2025-01-31,2025Q1,RN0,1,6069.5,7.27,-0.23,6069.27,6061.0,6082.25,stop,-9.0,-1.059,8.5,2.75,8.5
2025-01-31,2025Q1,RN4,-1,6138.0,4.81,-0.69,6138.69,6144.5,6128.25,stop,-7.0,-1.077,6.5,1.5,6.75
2025-01-31,2025Q1,RN3,-1,6140.25,6.86,-0.64,6140.89,6148.75,6127.5,timeout,-1.75,-0.206,8.5,12.5,2.25
2025-02-03,2025Q1,RN3,-1,6013.0,6.19,-1.31,6014.31,6021.5,6000.25,stop,-9.0,-1.059,8.5,8.25,10.25
2025-02-03,2025Q1,RN3,1,6014.5,5.06,-0.19,6014.31,6008.25,6023.88,target,9.38,1.5,6.25,9.5,4.75
2025-02-03,2025Q1,RN1,-1,6022.5,5.82,-0.18,6022.68,6029.5,6012.0,stop,-7.5,-1.071,7.0,4.5,7.25
2025-02-03,2025Q1,RN4,-1,6037.0,4.83,-0.92,6037.92,6043.75,6026.88,eod,7.5,1.111,6.75,10.0,0.25
2025-02-03,2025Q1,RN0,-1,6042.5,6.74,-0.01,6042.51,6050.25,6030.88,target,11.62,1.5,7.75,12.0,4.25
2025-02-05,2025Q1,RN3,1,6035.75,6.0,-0.25,6035.5,6028.5,6046.62,target,10.88,1.5,7.25,11.0,3.0
2025-02-05,2025Q1,RN1,1,6047.5,5.29,-0.21,6047.29,6041.0,6057.25,target,9.75,1.5,6.5,10.0,1.0
2025-02-06,2025Q1,RN3,1,6095.0,7.48,-0.02,6094.98,6086.5,6107.75,stop,-9.0,-1.059,8.5,2.75,8.75
2025-02-07,2025Q1,RN2,1,6060.0,6.86,-0.14,6059.86,6052.0,6072.0,target,12.0,1.5,8.0,12.5,6.25
2025-02-07,2025Q1,RN2,1,6060.75,6.11,-0.89,6059.86,6052.75,6072.75,target,12.0,1.5,8.0,12.0,2.25
2025-02-10,2025Q1,RN3,-1,6087.0,7.35,-0.15,6087.15,6095.5,6074.25,timeout,8.25,0.971,8.5,10.5,3.5
2025-02-11,2025Q1,RN1,1,6077.0,5.4,-1.1,6075.9,6069.5,6088.25,timeout,3.0,0.4,7.5,7.0,2.25
2025-02-11,2025Q1,RN0,-1,6086.0,5.84,-0.16,6086.16,6093.0,6075.5,timeout,6.5,0.929,7.0,7.0,4.0
2025-02-11,2025Q1,RN4,-1,6092.5,5.77,-0.48,6092.98,6099.75,6081.62,eod,3.25,0.448,7.25,6.0,3.5
2025-02-12,2025Q1,RN3,-1,6057.0,4.44,-1.06,6058.06,6063.5,6047.25,stop,-7.0,-1.077,6.5,6.25,8.0
2025-02-13,2025Q1,RN2,1,6075.75,4.61,-0.89,6074.86,6069.25,6085.5,target,9.75,1.5,6.5,9.75,2.5
2025-02-13,2025Q1,RN1,1,6076.5,5.64,-0.61,6075.89,6069.25,6087.38,target,10.88,1.5,7.25,11.25,1.75
2025-02-13,2025Q1,RN4,1,6095.5,6.13,-1.37,6094.13,6087.0,6108.25,target,12.75,1.5,8.5,12.75,4.0
2025-02-14,2025Q1,RN0,1,6132.5,5.31,-1.44,6131.06,6124.75,6144.12,timeout,10.0,1.29,7.75,10.0,0.5
2025-02-14,2025Q1,RN1,-1,6136.75,5.63,-0.62,6137.37,6144.0,6125.88,timeout,4.25,0.586,7.25,4.75,1.75
2025-02-14,2025Q1,RN1,1,6137.5,4.87,-0.13,6137.37,6131.5,6146.5,timeout,-1.75,-0.292,6.0,7.75,2.0
2025-02-18,2025Q1,RN1,1,6133.0,4.96,-0.04,6132.96,6127.0,6142.0,timeout,4.0,0.667,6.0,8.75,2.0
2025-02-18,2025Q1,RN1,1,6133.75,5.46,-0.79,6132.96,6126.5,6144.62,timeout,5.5,0.759,7.25,6.75,5.75
2025-02-18,2025Q1,RN4,1,6134.25,6.57,-0.18,6134.07,6126.5,6145.88,timeout,5.75,0.742,7.75,6.25,6.25
2025-02-18,2025Q1,RN4,1,6135.5,6.07,-1.43,6134.07,6127.0,6148.25,timeout,2.75,0.324,8.5,6.25,4.5
2025-02-19,2025Q1,RN2,-1,6148.5,5.14,-0.11,6148.61,6154.75,6139.12,timeout,1.75,0.28,6.25,8.25,3.75
2025-02-19,2025Q1,RN4,1,6157.25,4.58,-0.67,6156.58,6151.0,6166.62,eod,0.25,0.04,6.25,4.75,1.0
2025-02-20,2025Q1,RN2,-1,6121.0,6.15,-0.35,6121.35,6128.5,6109.75,stop,-8.0,-1.067,7.5,1.25,8.5
2025-02-21,2025Q1,RN1,1,6049.75,6.06,-1.44,6048.31,6041.25,6062.5,stop,-9.0,-1.059,8.5,3.75,8.75
2025-02-24,2025Q1,RN0,1,6012.5,6.14,-0.11,6012.39,6005.25,6023.38,stop,-7.75,-1.069,7.25,0.75,7.25
2025-02-24,2025Q1,RN4,-1,6038.0,6.2,-0.05,6038.05,6045.25,6027.12,target,10.88,1.5,7.25,11.0,1.0
2025-02-26,2025Q1,RN4,1,5957.75,5.83,-0.42,5957.33,5950.5,5968.62,target,10.88,1.5,7.25,11.0,1.5
2025-02-26,2025Q1,RN1,-1,6001.5,4.84,-1.66,6003.16,6009.0,5990.25,stop,-8.0,-1.067,7.5,1.5,7.75
2025-02-26,2025Q1,RN2,-1,6010.5,4.54,-2.21,6012.71,6018.25,5998.88,stop,-8.25,-1.065,7.75,1.0,7.75
2025-02-26,2025Q1,RN2,-1,6011.5,5.29,-1.21,6012.71,6019.0,6000.25,target,11.25,1.5,7.5,11.5,1.0
2025-02-28,2025Q1,RN4,-1,5879.75,4.62,-2.88,5882.63,5888.25,5867.0,stop,-9.0,-1.059,8.5,8.5,8.75
2025-02-28,2025Q1,RN4,-1,5882.0,4.37,-0.63,5882.63,5888.0,5873.0,target,9.0,1.5,6.0,9.0,2.0
2025-02-28,2025Q1,RN1,-1,5896.25,5.09,-0.66,5896.91,5903.0,5886.12,target,10.12,1.5,6.75,10.5,1.0
2025-03-03,2025Q1,RN3,-1,5985.75,4.35,-1.9,5987.65,5993.0,5974.88,target,10.88,1.5,7.25,11.0,1.0
2025-03-04,2025Q1,RN2,-1,5794.75,4.47,-3.03,5797.78,5803.25,5782.0,stop,-9.0,-1.059,8.5,7.25,8.75
2025-03-04,2025Q1,RN2,-1,5797.25,5.72,-0.53,5797.78,5804.5,5786.38,target,10.88,1.5,7.25,11.25,0.5
2025-03-04,2025Q1,RN0,-1,5831.75,4.83,-0.92,5832.67,5838.5,5821.62,stop,-7.25,-1.074,6.75,1.0,7.0
2025-03-06,2025Q1,RN2,1,5729.25,5.07,-1.18,5728.07,5722.0,5740.12,target,10.88,1.5,7.25,11.0,3.5
2025-03-06,2025Q1,RN2,1,5730.25,5.32,-2.18,5728.07,5721.75,5743.0,target,12.75,1.5,8.5,13.0,2.25
2025-03-06,2025Q1,RN1,1,5765.25,4.97,-1.53,5763.72,5757.75,5776.5,stop,-8.0,-1.067,7.5,0.75,7.5
2025-03-06,2025Q1,RN0,1,5765.75,4.32,-0.43,5765.32,5760.0,5774.38,stop,-6.25,-1.087,5.75,3.0,5.75
2025-03-06,2025Q1,RN4,1,5789.0,4.68,-1.82,5787.18,5781.5,5800.25,stop,-8.0,-1.067,7.5,1.75,8.0
2025-03-07,2025Q1,RN3,1,5687.25,6.28,-0.97,5686.28,5679.0,5699.62,stop,-8.75,-1.061,8.25,3.0,8.5
2025-03-07,2025Q1,RN2,-1,5782.75,4.96,-1.29,5784.04,5790.0,5771.88,target,10.88,1.5,7.25,11.25,5.5
