trade_date,rth_open,on_high,on_low,pd_high,pd_low,pd_close,roll,symbol
2023-06-12,14804.0,14823.5,14554.25,14687.5,14496.25,14556.5,1,NQM3
2023-06-13,15097.0,15151.25,14979.5,14990.75,14764.0,14987.5,0,NQU3
2023-06-14,15095.5,15152.0,15081.0,15130.0,14963.0,15096.5,0,NQU3
2023-06-15,15141.0,15229.0,15066.0,15216.0,14976.0,15203.25,0,NQU3
2023-06-16,15471.0,15474.5,15315.0,15441.0,15114.5,15377.5,0,NQU3
2023-06-19,15251.0,15322.5,15234.0,15475.5,15258.5,15274.75,0,NQU3
2023-06-20,15211.5,15257.75,15168.75,15253.0,15230.5,15239.25,0,NQU3
2023-06-21,15201.75,15273.25,15181.75,15310.75,15126.5,15253.5,0,NQU3
2023-06-22,14981.5,15058.0,14970.0,15219.25,15002.25,15045.25,0,NQU3
2023-06-23,15043.5,15236.0,15019.0,15218.0,14964.0,15213.5,0,NQU3
2023-06-26,15036.5,15114.0,14998.75,15155.25,14985.25,15060.0,0,NQU3
2023-06-27,14917.75,14937.25,14862.25,15152.5,14853.5,14857.25,0,NQU3
2023-06-28,15029.5,15092.75,15021.25,15139.25,14888.0,15108.25,0,NQU3
2023-06-29,15119.25,15202.75,15101.25,15219.0,15025.5,15139.5,0,NQU3
2023-06-30,15252.0,15263.75,15099.0,15144.75,15028.5,15103.25,0,NQU3
2023-07-03,15355.25,15392.0,15330.5,15376.75,15238.5,15331.0,0,NQU3
2023-07-04,15363.75,15364.75,15334.25,15390.0,15308.0,15357.0,0,NQU3
2023-07-05,15293.5,15356.5,15255.25,15368.5,15340.5,15344.5,0,NQU3
2023-07-06,15196.0,15366.0,15164.5,15432.0,15292.5,15359.75,0,NQU3
2023-07-07,15220.5,15314.0,15176.5,15252.0,15111.5,15235.75,0,NQU3
2023-07-10,15168.5,15198.5,15078.0,15359.75,15172.25,15183.25,0,NQU3
2023-07-11,15202.0,15239.75,15176.0,15214.75,15063.25,15190.0,0,NQU3
2023-07-12,15430.25,15438.0,15254.5,15278.75,15109.5,15258.5,0,NQU3
2023-07-13,15576.25,15581.25,15456.5,15507.75,15344.0,15451.75,0,NQU3
2023-07-14,15722.0,15738.5,15680.0,15741.25,15552.25,15706.0,0,NQU3
2023-07-17,15729.75,15729.5,15661.5,15857.25,15663.0,15703.0,0,NQU3
2023-07-18,15815.25,15843.75,15796.0,15882.75,15708.75,15844.25,0,NQU3
2023-07-19,16012.75,16017.5,15945.0,16029.75,15733.0,15973.0,0,NQU3
2023-07-20,15833.75,15925.75,15805.25,16062.75,15911.25,15957.0,0,NQU3
2023-07-21,15688.25,15717.5,15554.5,15895.0,15547.0,15588.0,0,NQU3
2023-07-24,15578.5,15594.25,15527.0,15719.25,15522.25,15537.5,0,NQU3
2023-07-25,15589.0,15629.25,15549.25,15618.75,15483.75,15563.75,0,NQU3
2023-07-26,15619.0,15739.25,15606.25,15736.25,15587.75,15668.75,0,NQU3
2023-07-27,15834.75,15844.5,15631.5,15684.5,15515.0,15612.75,0,NQU3
2023-07-28,15737.75,15762.0,15546.25,15904.0,15511.25,15566.0,0,NQU3
2023-07-31,15860.0,15917.0,15791.25,15896.0,15715.75,15849.75,0,NQU3
2023-08-01,15796.5,15889.25,15755.75,15905.0,15800.25,15863.0,0,NQU3
2023-08-02,15667.5,15789.75,15590.25,15849.25,15728.25,15816.75,0,NQU3
2023-08-03,15358.0,15507.5,15339.5,15668.75,15414.0,15468.25,0,NQU3
2023-08-04,15511.5,15562.5,15401.75,15523.5,15351.25,15430.25,0,NQU3
2023-08-07,15433.5,15466.5,15357.75,15610.25,15336.5,15358.0,0,NQU3
2023-08-08,15379.0,15497.75,15318.75,15491.25,15334.25,15486.5,0,NQU3
2023-08-09,15361.0,15432.5,15343.5,15379.5,15218.0,15350.25,0,NQU3
2023-08-10,15300.75,15357.5,15200.75,15368.5,15146.5,15180.25,0,NQU3
2023-08-11,15091.75,15266.75,15079.25,15442.25,15136.0,15200.5,0,NQU3
2023-08-14,15068.25,15225.0,15020.75,15174.25,15037.25,15101.0,0,NQU3
2023-08-15,15225.0,15335.0,15152.0,15273.5,15035.0,15272.5,0,NQU3
2023-08-16,15079.75,15166.0,15064.0,15259.25,15074.75,15105.25,0,NQU3
2023-08-17,14994.25,15018.25,14887.5,15144.0,14938.25,14939.0,0,NQU3
2023-08-18,14632.25,14791.0,14620.0,15007.5,14754.5,14772.25,0,NQU3
2023-08-21,14808.75,14858.5,14720.5,14802.75,14609.25,14750.25,0,NQU3
2023-08-22,15091.5,15118.25,14943.0,15013.75,14788.75,14987.0,0,NQU3
2023-08-23,15009.25,15083.0,14957.25,15092.25,14932.0,14960.25,0,NQU3
2023-08-24,15335.5,15418.0,15294.0,15242.5,14999.5,15198.0,0,NQU3
2023-08-25,14897.25,14918.25,14785.25,15339.75,14854.75,14859.25,0,NQU3
2023-08-28,15097.5,15106.75,14973.5,15048.75,14751.75,14977.5,0,NQU3
2023-08-29,15076.75,15147.25,15049.75,15126.5,14983.5,15090.25,0,NQU3
2023-08-30,15416.25,15468.0,15361.5,15430.5,15062.75,15413.5,0,NQU3
2023-08-31,15492.25,15544.25,15460.0,15522.75,15375.0,15502.0,0,NQU3
2023-09-01,15633.0,15661.25,15502.0,15606.75,15488.75,15532.25,0,NQU3
2023-09-04,15555.0,15570.5,15500.5,15652.75,15454.0,15520.0,0,NQU3
2023-09-05,15481.75,15534.75,15418.25,15578.75,15512.25,15523.75,0,NQU3
2023-09-06,15499.5,15533.0,15438.75,15586.75,15442.75,15533.75,0,NQU3
2023-09-07,15200.5,15395.75,15183.0,15514.25,15310.5,15398.0,0,NQU3
2023-09-08,15273.0,15343.75,15223.0,15311.75,15157.5,15276.75,0,NQU3
2023-09-11,15618.75,15634.0,15298.75,15390.75,15255.75,15295.25,1,NQU3
2023-09-12,15600.5,15680.0,15591.25,15696.0,15537.25,15674.0,0,NQZ3
2023-09-13,15503.75,15529.75,15406.0,15658.75,15483.75,15497.75,0,NQZ3
2023-09-14,15620.0,15647.75,15563.25,15619.75,15454.25,15554.5,0,NQZ3
2023-09-15,15610.5,15719.75,15592.25,15714.5,15531.0,15672.5,0,NQZ3
2023-09-18,15355.75,15428.75,15330.5,15627.5,15356.75,15390.75,0,NQZ3
2023-09-19,15355.0,15442.25,15345.0,15461.0,15343.0,15413.25,0,NQZ3
2023-09-20,15419.25,15436.25,15342.25,15408.0,15248.5,15377.25,0,NQZ3
2023-09-21,14988.0,15149.0,14942.25,15435.25,15147.5,15152.25,0,NQZ3
2023-09-22,14937.5,14972.5,14836.25,15020.25,14859.25,14861.75,0,NQZ3
2023-09-25,14824.5,14946.0,14782.25,15027.5,14852.5,14866.75,0,NQZ3
2023-09-26,14825.0,14949.0,14795.0,14939.25,14782.5,14936.75,0,NQZ3
2023-09-27,14753.0,14796.0,14713.5,14846.25,14666.25,14708.75,0,NQZ3
2023-09-28,14695.0,14794.0,14677.75,14821.5,14586.0,14743.75,0,NQZ3
2023-09-29,15001.5,15009.75,14825.5,14947.5,14658.0,14858.5,0,NQZ3
2023-10-02,14873.75,15010.5,14826.0,15060.75,14811.0,14868.25,0,NQZ3
2023-10-03,14880.25,15031.0,14847.25,15046.0,14847.75,14988.0,0,NQZ3
2023-10-04,14753.0,14799.75,14589.0,14974.75,14651.5,14719.5,0,NQZ3
2023-10-05,14909.0,14958.75,14850.75,14956.0,14734.5,14919.75,0,NQZ3
2023-10-06,14736.75,14922.0,14660.0,14926.5,14716.25,14866.0,0,NQZ3
2023-10-09,15012.25,15040.5,14971.75,15160.25,14702.25,15113.25,0,NQZ3
2023-10-10,15201.0,15239.25,15171.75,15212.75,14949.5,15190.75,0,NQZ3
