week_monday,open,high,low,close,n_bars,symbol
2025-04-14,462.66,465.02,437.74,445.54,3671,QQQ
2025-04-21,438.98,473.86,427.95,472.98,4564,QQQ
2025-04-28,471.11,490.91,462.43,488.92,4487,QQQ
2025-05-05,485.77,492.7,476.79,487.95,4466,QQQ
2025-05-12,504.4,522.0,501.49,517.33,4460,QQQ
2025-05-19,514.13,523.0,503.27,508.4,4414,QQQ
2025-05-26,517.94,530.77,511.94,519.15,3545,QQQ
2025-06-02,515.36,533.05,515.16,530.0,4345,QQQ
2025-06-09,530.07,537.53,525.29,526.86,4329,QQQ
2025-06-16,530.15,535.37,524.89,527.08,3529,QQQ
2025-06-23,527.49,549.98,523.65,547.86,4377,QQQ
2025-06-30,551.2,557.2,544.51,555.81,3328,QQQ
2025-07-07,553.57,557.63,549.58,553.75,4220,QQQ
2025-07-14,552.51,563.69,551.57,561.35,4324,QQQ
2025-07-21,563.02,567.69,558.61,566.85,4231,QQQ
2025-07-28,569.5,576.46,551.7,554.18,4389,QQQ
2025-08-04,557.08,575.9,556.99,575.77,4441,QQQ
2025-08-11,574.42,583.31,571.57,577.2,4283,QQQ
2025-08-18,577.32,578.07,558.84,572.3,4343,QQQ
2025-08-25,571.17,577.99,568.55,569.7,4292,QQQ
2025-09-01,569.32,581.12,559.56,575.07,3500,QQQ
2025-09-08,577.64,587.86,577.04,586.66,4280,QQQ
2025-09-15,587.55,600.05,584.37,599.09,4279,QQQ
2025-09-22,596.71,602.97,588.5,596.19,4293,QQQ
2025-09-29,599.23,608.04,594.58,603.12,4345,QQQ
2025-10-06,605.28,613.17,582.04,583.14,4409,QQQ
2025-10-13,599.61,608.31,590.08,604.83,4422,QQQ
2025-10-20,607.26,618.42,599.74,617.32,4369,QQQ
2025-10-27,623.98,638.07,623.42,629.13,4521,QQQ
2025-11-03,631.53,635.82,598.68,611.21,4290,QQQ
2025-11-10,618.74,626.05,597.18,609.8,4223,QQQ
2025-11-17,615.0,615.07,580.25,590.99,4334,QQQ
2025-11-24,596.0,619.51,591.4,619.11,3289,QQQ
2025-12-01,614.7,628.92,612.52,625.74,4069,QQQ
2025-12-08,626.81,629.2,611.36,613.42,4161,QQQ
2025-12-15,615.38,618.42,600.28,617.55,4276,QQQ
