week_monday,open,high,low,close,n_bars,symbol
2024-07-01,5534.25,5626.0,5502.75,5615.0,7081,ESU4
2024-07-08,5612.0,5708.25,5610.75,5667.5,8144,ESU4
2024-07-15,5681.0,5721.25,5542.0,5552.75,8847,ESU4
2024-07-22,5564.5,5629.75,5432.5,5499.25,8948,ESU4
2024-07-29,5496.5,5600.75,5331.75,5358.0,10223,ESU4
2024-08-05,5330.0,5385.25,5120.0,5365.0,12560,ESU4
2024-08-12,5364.25,5586.25,5347.75,5580.25,9360,ESU4
2024-08-19,5584.0,5665.25,5565.25,5650.75,10868,ESU4
2024-08-26,5650.5,5669.0,5561.25,5656.5,11438,ESU4
2024-09-02,5656.25,5669.75,5394.0,5403.75,38737,ESU4
2024-09-09,5410.0,5641.5,5405.25,5626.75,80003,ESU4
2024-09-16,5622.75,5636.75,5622.5,5625.5,6184,ESU4
2024-09-23,5762.0,5830.0,5745.25,5785.75,7833,ESZ4
2024-09-30,5784.0,5822.5,5724.0,5795.5,8923,ESZ4
2024-10-07,5802.0,5868.25,5725.25,5853.25,8185,ESZ4
2024-10-14,5854.5,5927.25,5850.0,5907.5,7926,ESZ4
2024-10-21,5911.5,5915.5,5801.0,5841.5,8315,ESZ4
2024-10-28,5857.0,5893.0,5732.5,5759.25,8521,ESZ4
2024-11-04,5741.75,6040.5,5724.25,6023.5,9500,ESZ4
2024-11-11,6030.0,6053.25,5876.75,5900.0,9463,ESZ4
2024-11-18,5899.75,5993.5,5855.0,5991.0,10869,ESZ4
2024-11-25,6006.0,6060.0,5976.25,6051.5,9851,ESZ4
2024-12-02,6051.5,6111.0,6036.0,6096.75,19611,ESZ4
2024-12-09,6096.25,6105.75,6039.75,6051.25,54823,ESZ4
2024-12-16,6055.5,6069.0,6051.5,6066.0,3077,ESZ4
2024-12-23,6001.75,6107.5,5965.0,6029.25,6515,ESH5
2024-12-30,6028.75,6036.25,5874.75,5985.25,7900,ESH5
2025-01-06,5994.5,6068.25,5845.25,5861.5,9150,ESH5
2025-01-13,5864.5,6051.5,5809.0,6032.5,9336,ESH5
2025-01-20,6032.25,6162.25,5994.5,6132.0,8398,ESH5
2025-01-27,6102.25,6147.75,5948.0,6065.5,10066,ESH5
2025-02-03,5982.25,6123.25,5935.5,6050.0,9853,ESH5
2025-02-10,6016.0,6146.75,6014.0,6134.0,8928,ESH5
2025-02-17,6138.25,6166.5,6024.5,6029.75,9936,ESH5
2025-02-24,6040.75,6067.5,5848.0,5958.0,24297,ESH5
2025-03-03,5967.5,6000.5,5673.0,5771.75,59313,ESH5
2025-03-10,5753.0,5757.75,5509.25,5628.75,110999,ESH5
2025-03-17,5626.75,5686.25,5599.0,5634.75,17052,ESH5
2025-03-24,5740.0,5837.25,5602.25,5602.5,8792,ESM5
2025-03-31,5590.0,5773.25,5074.0,5096.75,11696,ESM5
2025-04-07,5007.0,5528.75,4832.0,5395.75,13614,ESM5
2025-04-14,5452.5,5497.75,5251.0,5326.5,7083,ESM5
2025-04-21,5283.75,5562.25,5127.25,5552.5,8965,ESM5
2025-04-28,5544.0,5724.75,5455.5,5710.5,8846,ESM5
2025-05-05,5705.0,5741.0,5596.0,5684.0,8698,ESM5
2025-05-12,5761.0,5977.5,5734.25,5948.5,9216,ESM5
2025-05-19,5930.25,5993.5,5756.5,5814.75,11029,ESM5
2025-05-26,5820.0,6008.0,5813.0,5913.75,10602,ESM5
2025-06-02,5898.75,6025.0,5867.5,6010.0,20282,ESM5
2025-06-09,6010.0,6074.75,5927.5,5978.25,80351,ESM5
2025-06-16,5949.0,6015.5,5944.0,6012.0,9406,ESM5
2025-06-23,5964.0,6239.0,5959.0,6220.75,8011,ESU5
2025-06-30,6223.25,6333.25,6223.25,6283.5,7095,ESU5
2025-07-07,6307.75,6335.5,6246.25,6294.0,7748,ESU5
2025-07-14,6274.0,6357.0,6241.0,6335.25,7806,ESU5
2025-07-21,6335.75,6431.0,6318.75,6428.25,7698,ESU5
2025-07-28,6450.0,6468.5,6239.5,6263.25,8898,ESU5
2025-08-04,6257.0,6426.75,6251.25,6425.25,8521,ESU5
2025-08-11,6422.75,6508.75,6387.5,6467.25,8533,ESU5
2025-08-18,6467.0,6496.25,6362.75,6484.75,9785,ESU5
2025-08-25,6493.0,6523.0,6430.75,6474.0,9549,ESU5
2025-09-01,6478.75,6541.75,6371.75,6488.75,12732,ESU5
2025-09-08,6483.75,6606.0,6480.25,6588.5,38332,ESU5
2025-09-15,6588.25,6602.5,6585.25,6602.0,3981,ESU5
2025-09-22,6716.0,6756.75,6624.25,6697.75,8022,ESZ5
2025-09-29,6697.0,6800.0,6680.0,6763.0,7930,ESZ5
2025-10-06,6768.0,6812.25,6540.25,6552.0,8543,ESZ5
2025-10-13,6632.0,6766.75,6571.25,6711.0,8942,ESZ5
2025-10-20,6721.0,6841.25,6690.75,6825.25,8015,ESZ5
2025-10-27,6881.0,6953.75,6843.5,6872.25,8350,ESZ5
2025-11-03,6878.0,6909.5,6655.5,6765.0,9085,ESZ5
2025-11-10,6788.0,6900.5,6670.5,6765.25,9087,ESZ5
2025-11-17,6764.75,6801.5,6525.0,6631.5,14922,ESZ5
2025-11-24,6654.75,6863.75,6625.0,6857.25,8502,ESZ5
2025-12-01,6854.75,6905.0,6802.0,6879.5,12792,ESZ5
2025-12-08,6883.0,6928.75,6805.0,6833.5,59048,ESZ5
2025-12-15,6831.0,6866.25,6818.75,6864.75,4747,ESZ5
2025-12-22,6906.25,6994.0,6900.5,6977.0,6103,ESH6
2025-12-29,6980.5,6984.75,6866.75,6900.5,6422,ESH6
2026-01-05,6911.5,7017.5,6899.5,7004.0,7825,ESH6
2026-01-12,7007.0,7036.25,6923.25,6977.75,8435,ESH6
2026-01-19,6918.25,6969.0,6814.5,6933.75,8942,ESH6
2026-01-26,6904.0,6916.5,6879.0,6914.25,89,ESH6
