QQQ   260529P00597000	891
QQQ   270917P00650000	411
QQQ   260529P00679000	85
QQQ   260605P00699000	
QQQ   260930P00800000	
QQQ   260511P00705000	
QQQ   280616P00830000	
QQQ   270319P00810000	
QQQ   260507C00674000	756
QQQ   270917C00580000	153
QQQ   260508P00680000	957
QQQ   260821C00840000	842
QQQ   270115C00615000	1139
QQQ   260930C00730000	689
QQQ   260511C00635000	35
QQQ   270331C00583000	1
QQQ   280616C00760000	307
QQQ   270319C00740000	764
QQQ   260515C00775000	1052
QQQ   260515C00631000	2057
QQQ   260512P00641000	70
QQQ   260514P00515000	
QQQ   260514P00659000	41
QQQ   260508C00692000	856
QQQ   260731C00681000	3
QQQ   260518P00655000	130
QQQ   260605P00610000	800
QQQ   261016P00405000	127
QQQ   260821P00660000	707
QQQ   260612C00705000	147
QQQ   260529C00664000	192
QQQ   260522P00616000	238
QQQ   260529C00520000	119
QQQ   260522P00534000	
QQQ   280616P00580000	249
QQQ   260511P00599000	88
QQQ   261016C00335000	13
QQQ   260605C00684000	136
QQQ   260605C00540000	
QQQ   270319P00560000	5254
QQQ   260515P00595000	12569
QQQ   270331C00720000	64
QQQ   260821C00590000	482
QQQ   260717P00598000	61
QQQ   260717P00310000	1897
QQQ   260506C00625000	155
QQQ   260522C00320000	
QQQ   260522C00546000	
QQQ   261218C00219780	51
QQQ   260507P00631000	139
QQQ   270319C00490000	6
QQQ   260612P00525000	
QQQ   260612P00669000	69
QQQ   281215P00400000	1112
QQQ   260605P00360000	
QQQ   270617C00405000	14
QQQ   270331P00540000	167
QQQ   260612C00455000	
QQQ   281215C00330000	1
QQQ   260506P00589000	14
QQQ   270115C00420000	164
QQQ   260717P00735000	60
QQQ   260522C00601000	59
QQQ   270331C00470000	
QQQ   260511C00666000	259
QQQ   260515C00662000	1175
QQQ   270617P00225000	49
QQQ   281215P00825000	
QQQ   260512P00672000	197
QQQ   260630P00519000	35
QQQ   260529P00621000	160
QQQ   260605P00641000	116
QQQ   260717C00665000	3362
QQQ   270115P00240000	169
QQQ   281215C00755000	3
QQQ   260529C00695000	8441
QQQ   260529C00551000	
QQQ   260630C00305000	
QQQ   260522P00565000	478
QQQ   260522P00647000	361
QQQ   260605C00571000	
QQQ   260618C00549780	699
QQQ   270617P00980000	
QQQ   260717P00485000	473
QQQ   260506C00656000	156
QQQ   260508C00860000	81
QQQ   260522C00495000	1
QQQ   260522C00577000	32
QQQ   260507P00662000	420
QQQ   281215P00575000	132
QQQ   270115P00665000	104
QQQ   260930P00780000	
QQQ   260511P00623000	44
QQQ   270331P00571000	1
QQQ   260618P00369780	1524
QQQ   260507C00592000	
QQQ   270115C00595000	1158
QQQ   260522C00632000	59
QQQ   260511C00697000	108
QQQ   260618C00299780	79
QQQ   271217P00880000	
QQQ   260515C00693000	339
QQQ   260529P00652000	573
QQQ   260605P00672000	245
QQQ   260717C00552000	17
QQQ   260505C00607000	10
QQQ   260515P00900000	
QQQ   260612C00623000	
QQQ   260522P00678000	45
QQQ   260529C00582000	41
QQQ   260506P00613000	59
QQQ   270917C00305000	
QQQ   260618C00637000	
