id,entryTime,exitTime,side,levelType,levelPrice,entryPrice,barsHeld,exitReason,pnl_pts,mfe_pts,mae_pts,won,entry_gamma_flip,entry_gamma_flip_dist_raw,entry_total_gex,entry_gamma_imbalance,entry_regime,entry_in_dir_wall,entry_in_dir_wall_dist,entry_in_dir_wall_strength,entry_opp_wall,entry_opp_wall_dist,entry_opp_wall_strength,entry_iv,entry_skew,snapshots_during_trade,gamma_flip_drift_raw,gamma_flip_drift_signed_dir,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,in_dir_wall_move_raw,opp_wall_move_raw,total_gex_change_pct,gamma_imbalance_change,regime_changed,exit_regime,iv_change,skew_change
T000202,2025-04-02T18:38:00.000Z,2025-04-02T18:59:55.000Z,long,S1,19680.2400,19689.0000,21.0000,stop_loss,-81.5000,25.2500,79.7500,0.0000,17996.1200,1692.8800,-2732719879.0342,-0.5651,negative,19680.2400,8.7600,770958887.0499,20517.7000,828.7000,123650768.6045,[object Object],-0.0540,1.0000,,,0.2494,-0.2212,-188.7000,-196.7300,-0.3176,-0.0704,0.0000,negative,0.0650,0.0106
T000203,2025-04-03T14:13:00.000Z,2025-04-03T14:34:51.000Z,long,S4,18863.1200,18886.7500,21.0000,trailing_stop,4.7500,74.2500,30.5000,1.0000,,,-4676127314.5075,-0.9952,negative,18655.8300,230.9200,485037733.2885,22387.0000,3500.2500,10993303.0538,[object Object],-0.0128,2.0000,,,0.0435,-0.0280,0.0000,0.0000,-0.0152,0.0041,0.0000,negative,0.0227,-0.0054
T000204,2025-04-03T14:46:00.000Z,2025-04-03T15:07:05.000Z,long,S1,18829.9400,18818.8500,21.0000,stop_loss,-80.8500,11.8500,78.8500,0.0000,,,-4680454690.5830,-0.9844,negative,18829.9400,-11.0900,520581469.8839,22595.9300,3777.0800,10162270.2895,[object Object],-0.0534,1.0000,,,-0.0194,0.0181,-173.9800,-208.7700,-0.0097,-0.0066,0.0000,negative,-0.0042,-0.0720
T000205,2025-04-03T15:17:00.000Z,2025-04-03T16:13:17.000Z,long,S1,18847.4700,18825.5000,56.0000,take_profit,120.0000,112.5000,31.0000,1.0000,,,-4745893132.6388,-0.9932,negative,18847.4700,-21.9700,511553581.4470,22616.9600,3791.4600,10489632.9433,[object Object],-0.0512,3.0000,,,-0.0910,0.0734,-192.9900,-231.5800,0.0426,0.0037,0.0000,negative,0.0097,-0.0564
T000206,2025-04-03T16:55:00.000Z,2025-04-03T17:54:00.000Z,long,S4,18864.2200,18873.2500,60.0000,max_hold_time,-22.7500,45.2500,49.7500,0.0000,,,-4726827722.6924,-0.9935,negative,18656.9200,216.3300,498082479.7679,22388.3100,3515.0600,10807330.1845,[object Object],-0.0664,4.0000,,,0.0230,-0.0340,181.0000,217.2000,-0.0029,0.0011,0.0000,negative,0.0334,0.0796
T000207,2025-04-03T18:51:00.000Z,2025-04-03T19:17:15.000Z,long,S1,18837.0000,18835.0000,26.0000,stop_loss,-80.7500,27.7500,77.5000,0.0000,,,-4746588936.8070,-0.9909,negative,18837.0000,-2.0000,506952994.5007,22604.4000,3769.4000,10672506.8766,[object Object],-0.0796,2.0000,,,0.0513,0.1405,-181.0600,-3409.5100,0.0410,0.0238,0.0000,negative,-0.0108,0.0298
T000208,2025-04-04T14:14:00.000Z,2025-04-04T14:23:47.000Z,long,S4,17983.3100,17988.2500,9.0000,trailing_stop,4.7500,83.5000,44.2500,1.0000,,,-3801231704.4694,-0.9924,negative,17774.2000,214.0500,209176629.7630,22583.6900,4595.4400,4621400.2459,[object Object],-0.0789,1.0000,,,0.0058,-0.0374,24.4300,31.0500,-0.0105,-0.0022,0.0000,negative,-0.0048,0.1514
T000209,2025-04-04T14:47:00.000Z,2025-04-04T14:50:16.000Z,long,S1,17799.5500,17780.0000,3.0000,stop_loss,-81.0000,13.0000,77.5000,0.0000,,,-3815124350.1019,-0.9958,negative,17799.5500,-19.5500,210907778.4493,22615.9000,4835.9000,4282412.8976,[object Object],-0.1219,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,-0.1077,0.0309
T000210,2025-04-04T16:32:00.000Z,2025-04-04T16:44:43.000Z,long,S2,17772.3000,17755.5000,12.0000,trailing_stop,4.7500,89.7500,45.5000,1.0000,,,-3672251199.7739,-0.9974,negative,17563.2200,192.2800,211857579.5415,22581.2800,4825.7800,3974555.6345,[object Object],-0.0581,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,-0.0204,0.1557
T000211,2025-04-04T17:46:01.000Z,2025-04-04T17:55:40.000Z,long,S1,17769.5300,17774.7500,9.0000,trailing_stop,4.7500,83.5000,0.0000,1.0000,,,-3820785113.5704,-0.9956,negative,17769.5300,5.2200,210842223.0384,22577.7500,4803.0000,4305868.9262,[object Object],-0.0101,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0908,-0.0181
