trade_id,side,levelType,entryTime,exitTime,snap_ts,bars_elapsed,bars_remaining,frac_elapsed,won,pnl_pts,mfe_pts,mae_pts,exit_reason,regime,gamma_flip,gamma_flip_dist,total_gex,gamma_imbalance,in_dir_wall,in_dir_wall_dist,in_dir_wall_strength,opp_wall,opp_wall_dist,opp_wall_strength,regime_changed_since_entry,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,total_gex_change_pct,gamma_imbalance_change,gamma_flip_drift_signed_dir
T000397,long,S1,2025-07-17T13:34:00.000Z,2025-07-17T14:33:00.000Z,2025-07-17T14:00:00.000Z,26.0000,33.0000,0.4407,1.0000,94.7500,101.5000,8.0000,max_hold_time,positive,22767.7700,305.9800,2756747869.5641,0.6971,23140.3300,-66.5800,107353842.4685,23388.7100,314.9600,543536429.2773,0.0000,-0.5436,0.0643,0.2347,0.1546,-1903.5000
T000397,long,S1,2025-07-17T13:34:00.000Z,2025-07-17T14:33:00.000Z,2025-07-17T14:15:00.000Z,41.0000,18.0000,0.6949,1.0000,94.7500,101.5000,8.0000,max_hold_time,positive,22769.0800,304.6700,2762937405.3714,0.7000,23141.6700,-67.9200,106685912.2950,23390.0600,316.3100,544032222.2987,0.0000,-0.5465,0.0653,0.2375,0.1576,-1904.8100
T000397,long,S1,2025-07-17T13:34:00.000Z,2025-07-17T14:33:00.000Z,2025-07-17T14:30:00.000Z,56.0000,3.0000,0.9492,1.0000,94.7500,101.5000,8.0000,max_hold_time,positive,22769.3600,304.3900,3056416328.6806,0.8156,21320.4000,1753.3500,73773929.1136,23390.3400,316.5900,567435126.6532,0.0000,-0.6864,0.1111,0.3689,0.2731,-1905.0900
T000398,long,S4,2025-07-22T14:05:00.000Z,2025-07-22T15:04:00.000Z,2025-07-22T14:15:00.000Z,10.0000,49.0000,0.1695,1.0000,82.0000,96.5000,0.0000,max_hold_time,neutral,24823.4900,-1689.9900,166583555.5280,0.0862,23168.5900,-35.0900,381717321.3182,23582.3100,448.8100,558600744.2886,0.0000,0.0733,-0.0280,-0.5545,-0.0518,-630.1200
T000398,long,S4,2025-07-22T14:05:00.000Z,2025-07-22T15:04:00.000Z,2025-07-22T14:30:00.000Z,25.0000,34.0000,0.4237,1.0000,82.0000,96.5000,0.0000,max_hold_time,neutral,23789.7600,-656.2600,958057976.0266,0.2491,23169.1600,-35.6600,249971441.0496,23582.9000,449.4000,621063046.8355,0.0000,-0.2971,0.0807,1.5623,0.1111,403.6100
T000398,long,S4,2025-07-22T14:05:00.000Z,2025-07-22T15:04:00.000Z,2025-07-22T14:45:00.000Z,40.0000,19.0000,0.6780,1.0000,82.0000,96.5000,0.0000,max_hold_time,positive,23583.1300,-449.6300,1099012854.6482,0.2790,22962.5200,170.9800,222719872.9948,23583.1300,449.6300,633181435.7426,1.0000,-0.3737,0.1018,1.9393,0.1409,610.2400
T000398,long,S4,2025-07-22T14:05:00.000Z,2025-07-22T15:04:00.000Z,2025-07-22T15:00:00.000Z,55.0000,4.0000,0.9322,1.0000,82.0000,96.5000,0.0000,max_hold_time,neutral,23788.1800,-654.6800,852737037.3662,0.2365,23167.6200,-34.1200,273935776.9838,23581.3300,447.8300,612168901.9811,0.0000,-0.2297,0.0652,1.2807,0.0984,405.1900
T000399,long,S1,2025-07-22T16:28:00.000Z,2025-07-22T17:27:00.000Z,2025-07-22T16:30:00.000Z,2.0000,57.0000,0.0339,1.0000,57.5000,57.7500,16.7500,max_hold_time,neutral,24409.9000,-1233.6500,280900920.2472,0.1146,23168.7200,7.5300,368942742.9517,23582.4400,406.1900,567084077.7999,0.0000,-0.0165,0.0066,0.2198,0.0125,197.9100
T000399,long,S1,2025-07-22T16:28:00.000Z,2025-07-22T17:27:00.000Z,2025-07-22T16:45:00.000Z,17.0000,42.0000,0.2881,1.0000,57.5000,57.7500,16.7500,max_hold_time,neutral,23789.9800,-613.7300,666547475.8812,0.1981,23169.3700,6.8800,309085970.0504,23583.1100,406.8600,596991698.0237,0.0000,-0.1760,0.0597,1.8945,0.0960,817.8300
T000399,long,S1,2025-07-22T16:28:00.000Z,2025-07-22T17:27:00.000Z,2025-07-22T17:00:00.000Z,32.0000,27.0000,0.5424,1.0000,57.5000,57.7500,16.7500,max_hold_time,neutral,23789.9200,-613.6700,727306128.1885,0.2105,23169.3100,6.9400,298658578.8484,23583.0500,406.8000,601641984.4169,0.0000,-0.2038,0.0680,2.1583,0.1084,817.8900
T000399,long,S1,2025-07-22T16:28:00.000Z,2025-07-22T17:27:00.000Z,2025-07-22T17:15:00.000Z,47.0000,12.0000,0.7966,1.0000,57.5000,57.7500,16.7500,max_hold_time,positive,23582.3400,-406.0900,1553035918.0706,0.3733,22961.7500,214.5000,193524142.4587,23582.3400,406.0900,663073062.3542,1.0000,-0.4841,0.1770,5.7440,0.2711,1025.4700
T000400,long,S1,2025-07-23T13:46:00.000Z,2025-07-23T14:45:00.000Z,2025-07-23T14:00:00.000Z,14.0000,45.0000,0.2373,1.0000,6.5000,44.5000,19.7500,max_hold_time,negative,20889.4700,2277.0300,-1421917237.2004,0.0293,23123.2000,43.3000,503852596.9581,23578.2200,411.7200,515290426.6979,0.0000,-0.6218,-0.0282,-0.2444,0.1938,-0.5700
T000400,long,S1,2025-07-23T13:46:00.000Z,2025-07-23T14:45:00.000Z,2025-07-23T14:15:00.000Z,29.0000,30.0000,0.4915,1.0000,6.5000,44.5000,19.7500,max_hold_time,neutral,20889.7500,2276.7500,-642894201.4304,-0.0483,23164.8700,1.6300,1206405463.0884,23578.5300,412.0300,554860166.5682,1.0000,-0.0943,0.0464,0.4374,0.1162,-0.8500
