date,day_of_week,rth_close,overnight_return,direction,overnight_range,max_up,max_down,gex_regime,total_gex,gf_dist,s1_dist,r1_dist,lt_sentiment,evening_ret,dead_zone_ret,european_ret,premarket_ret
2024-11-13,Wednesday,21158.75,-21.75,DOWN,100.00,31.50,68.50,positive,2.90,1539.49,93.86,112.66,BEARISH,-14.25,-51.50,52.50,-15.50
2024-11-14,Thursday,21008.50,-249.75,DOWN,229.00,-27.00,256.00,neutral,0.17,2019.59,152.00,467.50,BEARISH,-50.75,-56.00,-48.50,-61.50
2024-11-18,Monday,20631.75,-110.00,DOWN,314.50,65.25,249.25,neutral,-0.03,,413.77,617.76,BEARISH,-6.75,50.75,-137.25,-19.00
2024-11-19,Tuesday,20765.25,-12.00,DOWN,110.50,78.00,32.50,positive,1.03,-358.28,755.65,688.34,BULLISH,51.25,17.50,-35.50,-41.25
2024-11-20,Wednesday,20752.25,123.75,UP,293.50,136.50,157.00,neutral,0.77,-485.63,545.34,279.44,BULLISH,-88.50,38.00,-42.75,229.25
2024-11-21,Thursday,20823.75,-33.75,DOWN,151.25,20.75,130.50,neutral,0.97,1789.36,370.13,882.13,BULLISH,-24.00,28.00,-43.75,31.75
2024-11-25,Monday,20878.00,59.75,UP,224.50,101.50,123.00,neutral,0.90,895.92,62.47,555.81,BULLISH,-109.25,108.00,-20.25,51.50
2024-11-26,Tuesday,20989.75,-53.00,DOWN,114.75,29.25,85.50,positive,2.79,2041.87,384.38,27.73,BEARISH,-5.00,-17.00,-48.50,15.50
2024-11-27,Wednesday,20816.25,58.00,UP,70.75,61.75,9.00,neutral,0.94,-398.59,13.35,192.62,BULLISH,32.25,17.75,-6.00,16.50
2024-11-28,Thursday,20890.00,-59.50,DOWN,125.50,47.75,77.75,,,,,,BULLISH,-45.25,67.00,-8.75,-66.75
2024-12-02,Monday,21217.00,-59.75,DOWN,99.00,26.50,72.50,positive,3.62,641.53,426.63,190.91,BEARISH,-9.00,16.50,-9.75,-60.25
2024-12-03,Tuesday,21279.00,139.00,UP,151.25,178.00,-26.75,positive,4.29,1938.06,488.05,129.50,BULLISH,0.00,29.75,45.50,18.25
2024-12-04,Wednesday,21537.50,-2.25,RANGE,48.75,0.25,48.50,strong_positive,5.44,966.04,1368.60,277.84,BEARISH,-15.75,6.50,3.50,28.25
2024-12-05,Thursday,21475.50,15.50,UP,105.00,54.25,50.75,positive,3.52,2131.99,115.32,131.62,BEARISH,5.00,22.50,-6.25,20.00
2024-12-09,Monday,21485.50,47.00,UP,90.00,52.50,37.50,positive,2.23,1950.93,59.16,310.97,BULLISH,-2.25,-17.50,2.00,70.75
2024-12-10,Tuesday,21408.00,182.00,UP,184.25,182.00,2.25,positive,2.09,1047.85,142.95,186.10,BEARISH,-13.50,21.50,3.75,141.00
2024-12-11,Wednesday,21791.75,-98.00,DOWN,123.75,-19.25,143.00,strong_positive,5.51,1848.77,1643.17,207.21,BEARISH,-4.75,9.25,-27.50,-40.50
2024-12-12,Thursday,21643.25,152.00,UP,145.75,200.50,-54.75,positive,4.97,-200.57,-158.97,408.61,BEARISH,32.50,-7.25,39.75,9.00
