date,label,move,rel_bucket,cx_bid_behind,cx_ask_behind,cx_at_bbo,add_sz
2026-01-02,ct12,-6.0,-10,398,443,4099,0
2026-01-02,ct12,-6.0,-9,377,352,3595,0
2026-01-02,ct12,-6.0,-8,392,560,4440,0
2026-01-02,ct12,-6.0,-7,509,551,4400,0
2026-01-02,ct12,-6.0,-6,360,319,3729,0
2026-01-02,ct12,-6.0,-5,439,375,3946,0
2026-01-02,ct12,-6.0,-4,483,344,3908,0
2026-01-02,ct12,-6.0,-3,279,215,3172,0
2026-01-02,ct12,-6.0,-2,275,200,2996,0
2026-01-02,ct12,-6.0,-1,330,262,3355,0
2026-01-02,ct12,-6.0,0,332,304,3615,0
2026-01-02,ct12,-6.0,1,417,351,3793,0
2026-01-02,ct12,-6.0,2,218,232,2977,0
2026-01-02,ct12,-6.0,3,288,307,3356,0
2026-01-02,ct12,-6.0,4,355,274,3383,0
2026-01-02,ct12,-6.0,5,359,415,3405,0
2026-01-02,ct12,-6.0,6,620,535,4921,0
2026-01-02,ct12,-6.0,7,466,366,3087,0
2026-01-02,ct12,-6.0,8,224,265,2893,0
2026-01-02,ct12,-6.0,9,215,250,2925,0
2026-01-02,ct12,-6.0,10,256,214,2709,0
2026-01-02,ct12,-6.0,11,328,290,2780,0
2026-01-02,ct12,-6.0,12,388,311,3878,0
2026-01-02,ct12,-6.0,13,363,377,3952,0
2026-01-02,ct12,-6.0,14,406,478,3250,0
2026-01-02,ct12,-6.0,15,381,548,3887,0
2026-01-02,ct12,-6.0,16,346,350,3502,0
2026-01-02,ct12,-6.0,17,330,266,3012,0
2026-01-02,ct13,-9.25,-36,226,208,893,0
2026-01-02,ct13,-9.25,-35,68,67,464,0
2026-01-02,ct13,-9.25,-34,55,71,393,0
2026-01-02,ct13,-9.25,-33,65,82,255,0
2026-01-02,ct13,-9.25,-32,38,39,186,0
2026-01-02,ct13,-9.25,-31,28,29,213,0
2026-01-02,ct13,-9.25,-30,43,101,323,0
2026-01-02,ct13,-9.25,-29,37,59,262,0
2026-01-02,ct13,-9.25,-28,64,39,299,0
2026-01-02,ct13,-9.25,-27,47,35,283,0
2026-01-02,ct13,-9.25,-26,89,44,451,0
2026-01-02,ct13,-9.25,-25,82,72,474,0
2026-01-02,ct13,-9.25,-24,192,133,616,0
2026-01-02,ct13,-9.25,-23,26,55,350,0
2026-01-02,ct13,-9.25,-22,59,78,472,0
2026-01-02,ct13,-9.25,-21,36,61,369,0
2026-01-02,ct13,-9.25,-20,90,114,552,0
2026-01-02,ct13,-9.25,-19,136,94,658,0
2026-01-02,ct13,-9.25,-18,287,197,1463,0
2026-01-02,ct13,-9.25,-17,70,111,633,0
2026-01-02,ct13,-9.25,-16,66,50,508,0
2026-01-02,ct13,-9.25,-15,88,119,562,0
2026-01-02,ct13,-9.25,-14,56,43,436,0
