date,tod,session,sym,move,dir,tier,ev_vol,ev_path,ev_range,ev_net,impact,pre_vol,pre_path,pre_net,impact_pre,fwd60,fwd300,fwd900
2026-01-14,873,rth,NQH6,-7.75,0,0,407.0,44.5,12.0,-7.75,109.337,1293.0,84.75,-1.0,65.545,-1.5,-0.75,6.5
2025-10-14,873,rth,NQZ5,-1.5,0,0,311.0,35.0,7.5,-1.5,112.54,1679.0,99.0,-5.5,58.964,-2.75,-19.0,-3.25
2025-09-15,874,rth,NQZ5,-1.75,0,0,183.0,18.5,4.5,-1.75,101.093,820.0,40.75,10.75,49.695,-1.0,-9.75,-14.75
2025-12-23,874,rth,NQH6,-0.5,0,0,130.0,6.0,1.5,-0.5,46.154,373.0,17.25,-2.25,46.247,-0.5,1.25,5.5
2025-04-29,874,rth,NQM5,-5.0,0,0,404.0,39.5,8.25,-5.0,97.772,1916.0,116.75,6.75,60.934,7.0,16.0,-4.5
2025-08-13,874,rth,NQU5,-3.5,0,0,419.0,20.0,6.0,-3.5,47.733,769.0,38.25,4.75,49.74,0.0,-15.25,-4.25
2025-05-05,874,rth,NQM5,0.75,0,0,673.0,22.0,4.5,0.75,32.689,1297.0,49.75,9.75,38.358,-1.25,1.0,4.0
2025-11-10,885,rth,NQZ5,-2.25,0,0,560.0,24.5,5.5,-2.25,43.75,1380.0,44.5,0.25,32.246,3.0,0.25,14.25
2025-07-25,885,rth,NQU5,-0.5,0,0,303.0,13.25,3.25,-0.5,43.729,695.0,28.5,0.75,41.007,-0.25,-7.75,-12.25
2025-02-14,885,rth,NQH5,5.25,0,0,510.0,19.5,8.0,5.25,38.235,689.0,42.0,-2.5,60.958,-6.0,-7.5,-8.0
2025-05-23,885,rth,NQM5,-4.25,0,0,457.0,43.25,10.75,-4.25,94.639,884.0,99.5,-10.0,112.557,-13.0,-2.0,-7.5
2025-08-06,885,rth,NQU5,1.75,0,0,550.0,24.75,7.75,1.75,45.0,1188.0,49.75,5.25,41.877,-6.25,-1.5,-9.0
2026-01-21,896,rth,NQH6,8.25,0,0,1987.0,95.0,26.5,8.25,47.811,2349.0,197.0,13.0,83.865,6.25,-20.25,-36.5
2025-03-07,896,rth,NQH5,2.0,0,0,849.0,94.0,18.75,2.0,110.718,1342.0,148.5,2.0,110.656,12.25,0.5,42.5
2025-08-25,896,rth,NQU5,4.5,0,0,481.0,15.25,6.25,4.5,31.705,558.0,37.25,-3.0,66.756,0.75,-8.25,8.0
2025-02-06,896,rth,NQH5,-8.0,0,0,948.0,49.25,15.0,-8.0,51.951,891.0,73.0,-1.5,81.93,-2.0,-15.75,-1.75
2025-06-09,896,rth,NQM5,3.25,0,0,422.0,19.25,5.75,3.25,45.616,812.0,41.25,4.75,50.8,5.0,-1.75,-0.25
2025-10-13,900,rth,NQZ5,-1.25,0,0,1698.0,59.75,11.5,-1.25,35.188,1157.0,73.0,3.0,63.094,-14.5,-3.75,12.25
2025-02-05,900,rth,NQH5,9.25,0,0,642.0,30.5,10.5,9.25,47.508,667.0,44.5,2.0,66.717,2.25,-1.75,6.75
2025-12-12,900,rth,NQZ5,-6.25,0,0,1185.0,59.0,13.25,-6.25,49.789,1780.0,87.25,16.75,49.017,-4.0,8.0,-7.5
2025-05-29,900,rth,NQM5,9.25,0,0,1087.0,63.0,23.25,9.25,57.958,3704.0,135.75,-18.0,36.65,2.75,5.5,-21.25
2025-11-13,900,rth,NQZ5,9.25,0,0,1602.0,100.5,22.0,9.25,62.734,2305.0,153.5,7.25,66.594,1.75,-21.25,1.75
2025-06-25,907,rth,NQU5,1.0,0,0,220.0,17.5,3.25,1.0,79.545,1191.0,49.25,2.0,41.352,10.0,24.5,16.5
2026-01-23,907,rth,NQH6,0.0,0,0,681.0,40.0,10.5,0.0,58.737,1217.0,76.75,-8.75,63.065,-12.25,-9.25,-0.25
2025-09-12,907,rth,NQU5,-4.0,0,0,702.0,19.75,5.5,-4.0,28.134,888.0,38.0,-1.5,42.793,1.0,-6.0,-14.0
2025-06-10,907,rth,NQM5,0.75,0,0,526.0,32.25,5.75,0.75,61.312,3904.0,106.75,8.25,27.344,-2.25,5.5,-9.0
2025-10-10,907,rth,NQZ5,-8.75,0,0,729.0,75.5,15.5,-8.75,103.567,1748.0,157.75,0.0,90.246,-9.75,-46.5,-49.25
2025-03-12,908,rth,NQH5,4.75,0,0,863.0,79.75,24.25,4.75,92.41,1499.0,148.5,-3.0,99.066,3.0,-7.75,-39.75
