date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-07-02,2025Q3,call_wall,1,22823.0,-7.7,22815.26,22794.25,22866.12,timeout,8.75,0.304,28.75,22.0,13.5
2025-07-02,2025Q3,call_wall,-1,22831.5,17.3,22814.15,22851.5,22801.5,target,30.0,1.5,20.0,30.75,4.75
2025-07-07,2025Q3,gamma_flip,1,22858.0,147.8,23005.85,22842.75,22880.88,stop,-16.75,-1.098,15.25,4.0,16.25
2025-07-07,2025Q3,gamma_flip,1,22871.75,134.8,23006.5,22847.25,22908.5,stop,-26.0,-1.061,24.5,9.5,29.0
2025-07-07,2025Q3,gamma_flip,-1,22872.0,73.1,22798.87,22885.25,22852.12,target,19.88,1.5,13.25,22.75,1.25
2025-07-10,2025Q3,gamma_flip,1,22960.75,34.6,22995.35,22930.75,23005.75,target,45.0,1.5,30.0,45.0,9.25
2025-07-10,2025Q3,gamma_flip,-1,23019.25,231.2,22788.09,23025.75,23009.5,target,9.75,1.5,6.5,9.75,6.25
2025-07-11,2025Q3,gamma_flip,1,22996.0,33.9,23029.93,22956.0,23056.0,timeout,-6.0,-0.15,40.0,22.75,8.75
2025-07-11,2025Q3,gamma_flip,-1,23006.75,18.6,22988.14,23012.75,22997.75,stop,-7.5,-1.25,6.0,0.25,6.25
2025-07-11,2025Q3,gamma_flip,-1,23009.0,20.2,22988.84,23015.75,22998.88,stop,-8.25,-1.222,6.75,4.25,6.75
2025-07-15,2025Q3,gamma_flip,1,23095.5,10.1,23105.64,23073.75,23128.12,eod,15.0,0.69,21.75,17.25,13.75
2025-07-15,2025Q3,gamma_flip,-1,23153.0,87.3,23065.65,23185.0,23105.0,target,48.0,1.5,32.0,49.0,15.0
2025-07-17,2025Q3,gamma_flip,-1,23224.5,81.9,23142.64,23248.0,23189.25,stop,-25.0,-1.064,23.5,7.0,23.5
2025-07-21,2025Q3,gamma_flip,-1,23389.0,216.6,23172.41,23411.5,23355.25,stop,-24.0,-1.067,22.5,1.75,30.25
2025-07-24,2025Q3,gamma_flip,1,23356.5,-28.9,23327.59,23330.25,23395.88,stop,-27.75,-1.057,26.25,8.0,26.5
2025-07-24,2025Q3,gamma_flip,-1,23376.0,89.0,23287.02,23401.75,23337.38,timeout,28.25,1.097,25.75,36.0,24.5
2025-07-25,2025Q3,gamma_flip,-1,23407.0,44.3,23362.69,23427.5,23376.25,stop,-22.0,-1.073,20.5,16.0,22.25
2025-07-31,2025Q3,call_wall,-1,23553.0,-6.4,23559.36,23588.5,23499.75,target,53.25,1.5,35.5,55.0,2.0
2025-07-31,2025Q3,gamma_flip,1,23561.25,-1.9,23559.36,23535.0,23600.62,stop,-27.75,-1.057,26.25,1.25,34.0
2025-07-31,2025Q3,call_wall,-1,23606.0,-158.9,23764.87,23621.0,23583.5,target,22.5,1.5,15.0,23.75,1.75
2025-07-31,2025Q3,gamma_flip,-1,23606.0,89.1,23516.89,23621.0,23583.5,target,22.5,1.5,15.0,23.75,1.75
2025-08-07,2025Q3,gamma_flip,1,23529.0,3.1,23532.06,23505.75,23563.88,stop,-24.75,-1.065,23.25,20.25,26.5
2025-08-07,2025Q3,gamma_flip,-1,23543.25,11.6,23531.61,23561.5,23515.88,target,27.38,1.5,18.25,27.5,15.25
2025-08-07,2025Q3,call_wall,-1,23634.75,18.0,23616.78,23650.0,23611.88,target,22.88,1.5,15.25,23.5,13.25
2025-08-14,2025Q3,gamma_flip,1,23911.5,17.2,23928.75,23889.5,23944.5,target,33.0,1.5,22.0,33.75,1.25
2025-08-14,2025Q3,call_wall,-1,23926.25,-208.2,24134.44,23964.25,23869.25,stop,-39.5,-1.039,38.0,21.5,38.5
2025-08-14,2025Q3,call_wall,-1,23933.75,6.6,23927.16,23958.75,23896.25,stop,-26.5,-1.06,25.0,7.25,26.25
2025-08-20,2025Q3,put_wall,1,23092.0,-7.9,23084.12,23059.5,23140.75,stop,-34.0,-1.046,32.5,17.25,33.5
2025-08-28,2025Q3,gamma_flip,-1,23738.75,59.2,23679.58,23770.0,23691.88,stop,-32.75,-1.048,31.25,16.5,34.5
2025-09-05,2025Q3,gamma_flip,-1,23865.5,9.9,23855.58,23897.25,23817.88,target,47.62,1.5,31.75,54.5,4.75
2025-09-08,2025Q3,gamma_flip,1,23842.0,10.1,23852.11,23825.75,23866.38,target,24.38,1.5,16.25,24.75,3.75
2025-09-08,2025Q3,gamma_flip,-1,23844.25,-8.1,23852.35,23880.0,23790.62,target,53.62,1.5,35.75,54.25,9.75
2025-09-08,2025Q3,gamma_flip,-1,23846.25,-6.1,23852.38,23880.25,23795.25,stop,-35.5,-1.044,34.0,40.0,35.75
2025-09-08,2025Q3,gamma_flip,-1,23882.25,29.2,23853.03,23892.0,23867.62,target,14.62,1.5,9.75,14.75,4.5
2025-09-10,2025Q3,gamma_flip,1,23909.5,18.5,23927.98,23903.25,23918.88,target,9.38,1.5,6.25,9.5,5.0
2025-09-11,2025Q3,gamma_flip,-1,23987.5,60.8,23926.68,24024.0,23932.75,stop,-38.0,-1.041,36.5,12.5,36.5
2025-09-15,2025Q3,call_wall,1,24504.75,185.3,24690.03,24486.5,24532.12,target,27.38,1.5,18.25,27.5,0.75
2025-09-15,2025Q3,call_wall,-1,24510.0,62.4,24447.61,24525.75,24486.38,stop,-17.25,-1.095,15.75,19.5,15.75
2025-09-17,2025Q3,gamma_flip,-1,24412.75,2018.6,22394.13,24449.0,24358.38,timeout,-7.5,-0.207,36.25,23.5,10.75
2025-09-17,2025Q3,gamma_flip,1,24415.25,145.2,24560.44,24404.0,24432.12,stop,-12.75,-1.133,11.25,8.25,17.25
2025-09-17,2025Q3,gamma_flip,1,24458.75,17.8,24476.59,24449.75,24472.25,stop,-10.5,-1.167,9.0,5.25,9.25
2025-09-29,2025Q3,gamma_flip,1,24850.75,37.5,24888.24,24826.75,24886.75,stop,-25.5,-1.062,24.0,0.25,24.75
2025-10-01,2025Q4,gamma_flip,-1,24931.75,11.0,24920.76,24952.75,24900.25,stop,-22.5,-1.071,21.0,3.0,21.25
2025-10-07,2025Q4,gamma_flip,-1,25239.25,377.6,24861.64,25268.75,25195.0,target,44.25,1.5,29.5,44.75,18.25
2025-10-08,2025Q4,gamma_flip,-1,25265.25,158.2,25107.07,25272.75,25254.0,stop,-9.0,-1.2,7.5,0.25,11.0
2025-10-10,2025Q4,gamma_flip,-1,25343.5,8.7,25334.8,25374.75,25296.62,target,46.88,1.5,31.25,53.5,13.25
2025-10-20,2025Q4,gamma_flip,-1,25303.25,24.0,25279.23,25317.75,25281.5,stop,-16.0,-1.103,14.5,12.5,15.25
2025-10-20,2025Q4,gamma_flip,1,25309.5,11.4,25320.86,25292.25,25335.38,stop,-18.75,-1.087,17.25,4.25,17.25
2025-10-20,2025Q4,gamma_flip,-1,25327.0,47.4,25279.57,25349.5,25293.25,target,33.75,1.5,22.5,34.75,1.0
2025-10-27,2025Q4,call_wall,1,25824.75,218.1,26042.87,25808.25,25849.5,target,24.75,1.5,16.5,25.25,16.25
2025-10-30,2025Q4,put_wall,1,26018.75,-192.2,25826.5,25979.5,26077.62,stop,-40.75,-1.038,39.25,0.5,40.75
2025-11-04,2025Q4,put_wall,1,25610.5,-1.9,25608.61,25577.75,25659.62,eod,20.25,0.618,32.75,23.75,16.25
2025-11-04,2025Q4,put_wall,1,25771.25,-164.0,25607.3,25734.25,25826.75,stop,-38.5,-1.041,37.0,25.25,37.25
