date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2026-02-06,2026Q1,798,-1,91.8,25102.75,25128.0,25064.88,timeout,32.75,1.297,25.25,37.5,17.25
2026-02-06,2026Q1,845,1,50.0,25089.25,25070.0,25118.12,stop,-20.75,-1.078,19.25,10.25,19.25
2026-02-06,2026Q1,886,1,45.0,25090.75,25061.25,25135.0,stop,-31.0,-1.051,29.5,15.5,32.0
2026-02-06,2026Q1,923,-1,74.2,25120.75,25131.0,25105.38,target,15.38,1.5,10.25,17.25,1.75
2026-02-09,2026Q1,666,-1,163.0,25317.5,25333.0,25294.25,stop,-17.0,-1.097,15.5,8.5,16.5
2026-02-09,2026Q1,773,1,46.0,25371.75,25366.5,25379.62,stop,-6.75,-1.286,5.25,1.5,6.5
2026-02-09,2026Q1,891,-1,65.2,25409.0,25432.75,25373.38,target,35.62,1.5,23.75,36.25,4.0
2026-02-09,2026Q1,907,-1,52.8,25410.25,25432.75,25376.5,target,33.75,1.5,22.5,35.5,0.5
2026-02-09,2026Q1,911,-1,47.2,25403.75,25432.75,25360.25,target,43.5,1.5,29.0,43.75,5.5
2026-02-10,2026Q1,572,-1,83.8,25379.25,25414.0,25327.12,target,52.12,1.5,34.75,55.25,10.75
2026-02-10,2026Q1,688,1,107.5,25361.5,25327.25,25412.88,stop,-35.75,-1.044,34.25,2.75,34.75
2026-02-10,2026Q1,834,1,120.8,25278.0,25266.75,25294.88,target,16.88,1.5,11.25,22.5,1.5
2026-02-10,2026Q1,916,1,67.8,25256.75,25241.25,25280.0,stop,-17.0,-1.097,15.5,18.5,16.25
2026-02-10,2026Q1,929,1,69.0,25254.25,25240.0,25275.62,stop,-15.75,-1.105,14.25,14.25,15.0
2026-02-11,2026Q1,606,1,199.5,25279.75,25261.75,25306.75,stop,-19.5,-1.083,18.0,1.25,22.75
2026-02-11,2026Q1,721,1,123.5,25156.5,25147.5,25170.0,stop,-10.5,-1.167,9.0,0.0,9.0
2026-02-11,2026Q1,839,-1,111.8,25301.25,25316.5,25278.38,target,22.88,1.5,15.25,24.0,3.0
2026-02-12,2026Q1,688,1,421.2,24838.75,24828.5,24854.12,stop,-11.75,-1.146,10.25,2.5,10.25
2026-02-13,2026Q1,580,1,202.5,24620.75,24613.5,24631.62,target,10.88,1.5,7.25,20.25,3.5
2026-02-13,2026Q1,728,-1,171.8,24911.75,24938.5,24871.62,stop,-28.25,-1.056,26.75,1.75,28.25
2026-02-13,2026Q1,730,-1,171.8,24914.5,24938.5,24878.5,stop,-25.5,-1.062,24.0,0.0,25.5
2026-02-13,2026Q1,826,-1,94.8,24975.5,24999.5,24939.5,target,36.0,1.5,24.0,37.5,8.5
2026-02-13,2026Q1,854,1,74.5,24947.25,24917.0,24992.62,stop,-31.75,-1.05,30.25,21.25,30.5
2026-02-13,2026Q1,920,1,154.8,24837.75,24809.75,24879.75,stop,-29.5,-1.054,28.0,7.25,29.0
2026-02-16,2026Q1,643,1,114.8,24703.0,24678.75,24739.38,stop,-25.75,-1.062,24.25,0.0,24.5
2026-02-16,2026Q1,656,1,119.0,24697.0,24674.5,24730.75,target,33.75,1.5,22.5,37.25,13.25
2026-02-17,2026Q1,741,1,111.2,24703.25,24681.5,24735.88,stop,-23.25,-1.069,21.75,7.5,27.25
2026-02-17,2026Q1,743,1,128.2,24680.75,24664.5,24705.12,target,24.38,1.5,16.25,25.25,7.75
2026-02-17,2026Q1,858,-1,215.5,24852.25,24878.75,24812.5,stop,-28.0,-1.057,26.5,23.5,27.5
2026-02-18,2026Q1,637,-1,317.5,25046.0,25078.0,24998.0,stop,-33.5,-1.047,32.0,4.25,35.25
2026-02-18,2026Q1,670,-1,118.8,25090.75,25119.75,25047.25,stop,-30.5,-1.052,29.0,33.25,29.0
2026-02-18,2026Q1,692,-1,95.8,25112.0,25121.25,25098.12,target,13.88,1.5,9.25,14.25,1.75
2026-02-18,2026Q1,815,1,80.5,25062.0,25042.75,25090.88,stop,-20.75,-1.078,19.25,14.75,26.5
2026-02-18,2026Q1,824,1,117.8,25029.5,25005.5,25065.5,stop,-25.5,-1.062,24.0,19.0,25.75
2026-02-19,2026Q1,681,-1,109.2,24954.0,24962.25,24941.62,target,12.38,1.5,8.25,12.5,5.5
2026-02-19,2026Q1,706,1,126.5,24834.5,24829.0,24842.75,stop,-7.0,-1.273,5.5,3.5,5.5
2026-02-19,2026Q1,721,1,158.2,24830.5,24797.25,24880.38,target,49.88,1.5,33.25,51.0,20.5
2026-02-19,2026Q1,813,1,122.0,24779.75,24745.0,24831.88,target,52.12,1.5,34.75,52.5,13.75
2026-02-19,2026Q1,898,1,97.8,24782.75,24747.5,24835.62,eod,26.5,0.752,35.25,38.0,6.25
