date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-15,2025Q1,896,-1,60.0,21415.25,21439.5,21378.88,stop,-25.75,-1.062,24.25,2.0,24.25
2025-01-15,2025Q1,898,1,32.2,21415.25,21399.25,21439.25,target,24.0,1.5,16.0,24.0,1.75
2025-01-15,2025Q1,899,-1,60.0,21419.5,21439.5,21389.5,stop,-21.5,-1.075,20.0,5.5,20.0
2025-01-15,2025Q1,900,1,32.2,21424.25,21399.25,21461.75,eod,1.25,0.05,25.0,28.5,11.0
2025-01-15,2025Q1,903,-1,50.0,21420.0,21439.5,21390.75,stop,-21.0,-1.077,19.5,6.0,19.5
2025-01-15,2025Q1,911,1,32.2,21436.25,21399.25,21491.75,eod,-10.75,-0.291,37.0,16.5,23.0
2025-01-15,2025Q1,931,-1,49.5,21436.0,21456.75,21404.88,eod,10.5,0.506,20.75,22.75,10.5
2025-01-15,2025Q1,935,-1,49.5,21435.75,21456.75,21404.25,eod,10.25,0.488,21.0,22.5,1.25
2025-01-16,2025Q1,603,1,164.0,21369.25,21332.25,21424.75,target,55.5,1.5,37.0,55.5,3.5
2025-01-16,2025Q1,645,1,84.2,21370.25,21332.25,21427.25,target,57.0,1.5,38.0,57.0,30.75
2025-01-16,2025Q1,675,-1,135.2,21439.0,21478.75,21379.38,target,59.62,1.5,39.75,61.0,2.75
2025-01-16,2025Q1,721,-1,87.2,21401.5,21408.75,21390.62,stop,-8.75,-1.207,7.25,5.0,7.5
2025-01-16,2025Q1,736,-1,93.5,21382.5,21415.0,21333.75,stop,-34.0,-1.046,32.5,13.25,32.75
2025-01-16,2025Q1,740,-1,93.5,21385.25,21415.0,21340.62,stop,-31.25,-1.05,29.75,16.0,30.0
2025-01-16,2025Q1,774,1,49.8,21390.75,21372.25,21418.5,stop,-20.0,-1.081,18.5,22.5,18.75
2025-01-16,2025Q1,780,-1,56.8,21392.75,21430.0,21336.88,target,55.88,1.5,37.25,58.75,20.5
2025-01-16,2025Q1,839,1,151.0,21290.5,21258.25,21338.88,target,48.38,1.5,32.25,48.5,13.25
2025-01-16,2025Q1,840,-1,43.8,21280.75,21310.0,21236.88,stop,-30.75,-1.051,29.25,3.5,35.75
2025-01-16,2025Q1,863,-1,85.0,21312.5,21351.25,21254.38,stop,-40.25,-1.039,38.75,4.75,39.25
2025-01-16,2025Q1,886,-1,98.0,21351.0,21364.25,21331.12,stop,-14.75,-1.113,13.25,15.75,13.5
2025-01-16,2025Q1,891,-1,90.2,21339.0,21364.25,21301.12,stop,-26.75,-1.059,25.25,2.25,25.5
2025-01-16,2025Q1,911,-1,88.0,21383.25,21399.75,21358.5,target,24.75,1.5,16.5,25.0,0.5
2025-01-17,2025Q1,624,1,195.5,21520.75,21483.0,21577.38,stop,-39.25,-1.04,37.75,6.0,39.5
