Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
83,Exit long,2026-06-16 14:29,X,30471.25,1,609240,185,0.03,265,0.04,-5,0.00,-7235,-0.01,1
83,Entry long,2026-06-16 14:28,B=0|T=20260616T1828,30462,1,609240,185,0.03,265,0.04,-5,0.00,-7235,-0.01,1
84,Exit long,2026-06-16 14:30,X,30458.75,1,609425,-250,-0.04,125,0.02,-375,-0.06,-7485,-0.01,1
84,Entry long,2026-06-16 14:29,B=1|T=20260616T1829,30471.25,1,609425,-250,-0.04,125,0.02,-375,-0.06,-7485,-0.01,1
85,Exit long,2026-06-16 15:04,X,30474.75,1,609175,320,0.05,440,0.07,-735,-0.12,-7165,-0.01,34
85,Entry long,2026-06-16 14:30,B=0|T=20260616T1830,30458.75,1,609175,320,0.05,440,0.07,-735,-0.12,-7165,-0.01,34
86,Exit long,2026-06-16 15:05,X,30451.25,1,609495,-470,-0.08,10,0.00,-535,-0.09,-7635,-0.01,1
86,Entry long,2026-06-16 15:04,B=1|T=20260616T1904,30474.75,1,609495,-470,-0.08,10,0.00,-535,-0.09,-7635,-0.01,1
87,Exit long,2026-06-16 15:07,X,30476.25,1,609025,500,0.08,545,0.09,-60,-0.01,-7135,-0.01,2
87,Entry long,2026-06-16 15:05,B=0|T=20260616T1905,30451.25,1,609025,500,0.08,545,0.09,-60,-0.01,-7135,-0.01,2
88,Exit long,2026-06-16 15:08,X,30453.75,1,609525,-450,-0.07,55,0.01,-475,-0.08,-7585,-0.01,1
88,Entry long,2026-06-16 15:07,B=1|T=20260616T1907,30476.25,1,609525,-450,-0.07,55,0.01,-475,-0.08,-7585,-0.01,1
89,Exit long,2026-06-16 15:24,X,30434,1,609075,-395,-0.06,45,0.01,-2340,-0.38,-7980,-0.01,16
89,Entry long,2026-06-16 15:08,B=0|T=20260616T1908,30453.75,1,609075,-395,-0.06,45,0.01,-2340,-0.38,-7980,-0.01,16
90,Exit long,2026-06-16 15:26,X,30424.75,1,608680,-185,-0.03,270,0.04,-275,-0.05,-8165,-0.01,2
90,Entry long,2026-06-16 15:24,B=1|T=20260616T1924,30434,1,608680,-185,-0.03,270,0.04,-275,-0.05,-8165,-0.01,2
91,Exit long,2026-06-16 15:27,X,30435.25,1,608495,210,0.03,235,0.04,-60,-0.01,-7955,-0.01,1
91,Entry long,2026-06-16 15:26,B=0|T=20260616T1926,30424.75,1,608495,210,0.03,235,0.04,-60,-0.01,-7955,-0.01,1
92,Exit long,2026-06-16 15:34,X,30423.5,1,608705,-235,-0.04,535,0.09,-290,-0.05,-8190,-0.01,7
92,Entry long,2026-06-16 15:27,B=1|T=20260616T1927,30435.25,1,608705,-235,-0.04,535,0.09,-290,-0.05,-8190,-0.01,7
93,Exit long,2026-06-16 16:30,X,30307.5,1,608470,-2320,-0.38,385,0.06,-3025,-0.50,-10510,-0.01,56
93,Entry long,2026-06-16 15:34,B=0|T=20260616T1934,30423.5,1,608470,-2320,-0.38,385,0.06,-3025,-0.50,-10510,-0.01,56
94,Exit long,2026-06-16 18:30,X,30370,1,606150,1250,0.21,1390,0.23,-310,-0.05,-9260,-0.01,60
94,Entry long,2026-06-16 16:30,B=1|T=20260616T2030,30307.5,1,606150,1250,0.21,1390,0.23,-310,-0.05,-9260,-0.01,60
95,Exit long,2026-06-16 18:31,X,30375,1,607400,100,0.02,160,0.03,-50,-0.01,-9160,-0.01,1
95,Entry long,2026-06-16 18:30,B=0|T=20260616T2230,30370,1,607400,100,0.02,160,0.03,-50,-0.01,-9160,-0.01,1
96,Exit long,2026-06-16 18:35,X,30379,1,607500,80,0.01,125,0.02,0,0.00,-9080,-0.01,4
96,Entry long,2026-06-16 18:31,B=1|T=20260616T2231,30375,1,607500,80,0.01,125,0.02,0,0.00,-9080,-0.01,4
97,Exit long,2026-06-16 18:56,X,30387.25,1,607580,165,0.03,205,0.03,-955,-0.16,-8915,-0.01,21
97,Entry long,2026-06-16 18:35,B=0|T=20260616T2235,30379,1,607580,165,0.03,205,0.03,-955,-0.16,-8915,-0.01,21
98,Exit long,2026-06-16 18:57,X,30379,1,607745,-165,-0.03,0,0.00,-210,-0.03,-9080,-0.01,1
98,Entry long,2026-06-16 18:56,B=1|T=20260616T2256,30387.25,1,607745,-165,-0.03,0,0.00,-210,-0.03,-9080,-0.01,1
99,Exit long,2026-06-16 19:26,X,30337.25,1,607580,-835,-0.14,60,0.01,-1060,-0.17,-9915,-0.01,29
99,Entry long,2026-06-16 18:57,B=0|T=20260616T2257,30379,1,607580,-835,-0.14,60,0.01,-1060,-0.17,-9915,-0.01,29
100,Exit long,2026-06-16 19:41,X,30323.25,1,606745,-280,-0.05,455,0.07,-350,-0.06,-10195,-0.01,15
100,Entry long,2026-06-16 19:26,B=1|T=20260616T2326,30337.25,1,606745,-280,-0.05,455,0.07,-350,-0.06,-10195,-0.01,15
101,Exit long,2026-06-16 19:46,X,30335.5,1,606465,245,0.04,315,0.05,-50,-0.01,-9950,-0.01,5
101,Entry long,2026-06-16 19:41,B=0|T=20260616T2341,30323.25,1,606465,245,0.04,315,0.05,-50,-0.01,-9950,-0.01,5
102,Exit long,2026-06-16 19:49,X,30327.25,1,606710,-165,-0.03,300,0.05,-230,-0.04,-10115,-0.01,3
102,Entry long,2026-06-16 19:46,B=1|T=20260616T2346,30335.5,1,606710,-165,-0.03,300,0.05,-230,-0.04,-10115,-0.01,3
103,Exit long,2026-06-16 19:51,X,30331.75,1,606545,90,0.01,255,0.04,-405,-0.07,-10025,-0.01,2
