Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3222,Exit short,2023-02-16 18:00,1=16218.11|2=16063.75|3=16192.85|4=15384.08|5=15306.25|S=0|T=20230216T2300,15593.75,1,312895,1020,0.33,1070,0.34,0,0.00,-52245,-0.01,1
3222,Entry short,2023-02-16 14:00,1=16059.54|2=15967.28|3=16161.61|4=15375.86|5=15308.97|S=0|T=20230216T1900,15644.75,1,312895,1020,0.33,1070,0.34,0,0.00,-52245,-0.01,1
3223,Exit long,2023-02-16 22:00,1=16085.63|2=15940.69|3=16090.09|4=15294.51|5=15215.32|S=0|T=20230217T0300,15568.25,1,311875,-510,-0.16,220,0.07,-710,-0.23,-52755,-0.01,1
3223,Entry long,2023-02-16 18:00,1=16218.11|2=16063.75|3=16192.85|4=15384.08|5=15306.25|S=0|T=20230216T2300,15593.75,1,311875,-510,-0.16,220,0.07,-710,-0.23,-52755,-0.01,1
3224,Exit short,2023-02-17 02:00,1=16089.2|2=15925.46|3=16096.94|4=15305.22|5=15224.33|S=0|T=20230217T0700,15536,1,311365,645,0.21,1035,0.33,-535,-0.17,-52110,-0.01,1
3224,Entry short,2023-02-16 22:00,1=16085.63|2=15940.69|3=16090.09|4=15294.51|5=15215.32|S=0|T=20230217T0300,15568.25,1,311365,645,0.21,1035,0.33,-535,-0.17,-52110,-0.01,1
3225,Exit long,2023-02-17 06:00,1=16066.65|2=15907.91|3=16093.45|4=15311.07|5=15225.61|S=0|T=20230217T1100,15508,1,310720,-560,-0.18,1325,0.43,-1225,-0.39,-52670,-0.01,1
3225,Entry long,2023-02-17 02:00,1=16089.2|2=15925.46|3=16096.94|4=15305.22|5=15224.33|S=0|T=20230217T0700,15536,1,310720,-560,-0.18,1325,0.43,-1225,-0.39,-52670,-0.01,1
3226,Exit short,2023-02-17 10:00,1=16119.56|2=15937.79|3=16127.25|4=15346.66|5=15256.93|S=0|T=20230217T1500,15486,1,310160,440,0.14,1275,0.41,-1585,-0.51,-52230,-0.01,1
3226,Entry short,2023-02-17 06:00,1=16066.65|2=15907.91|3=16093.45|4=15311.07|5=15225.61|S=0|T=20230217T1100,15508,1,310160,440,0.14,1275,0.41,-1585,-0.51,-52230,-0.01,1
3227,Exit long,2023-02-17 14:00,1=16022.85|2=15890.21|3=16096.62|4=15319.98|5=15228.72|S=0|T=20230217T1900,15562.5,1,309720,1530,0.49,2005,0.65,-55,-0.02,-50700,-0.01,1
3227,Entry long,2023-02-17 10:00,1=16119.56|2=15937.79|3=16127.25|4=15346.66|5=15256.93|S=0|T=20230217T1500,15486,1,309720,1530,0.49,2005,0.65,-55,-0.02,-50700,-0.01,1
3228,Exit short,2023-02-19 18:00,1=16012.35|2=15876.88|3=16100.05|4=15333.37|5=15238.67|S=0|T=20230219T2300,15567.25,1,311250,-95,-0.03,750,0.24,-160,-0.05,-50795,-0.01,1
3228,Entry short,2023-02-17 14:00,1=16022.85|2=15890.21|3=16096.62|4=15319.98|5=15228.72|S=0|T=20230217T1900,15562.5,1,311250,-95,-0.03,750,0.24,-160,-0.05,-50795,-0.01,1
3229,Exit long,2023-02-19 22:00,1=15961.5|2=15849.08|3=16096.41|4=15338.71|5=15242.2|S=0|T=20230220T0300,15574.75,1,311345,150,0.05,355,0.11,-130,-0.04,-50645,-0.01,1
3229,Entry long,2023-02-19 18:00,1=16012.35|2=15876.88|3=16100.05|4=15333.37|5=15238.67|S=0|T=20230219T2300,15567.25,1,311345,150,0.05,355,0.11,-130,-0.04,-50645,-0.01,1
3230,Exit short,2023-02-20 02:00,1=15956.33|2=15840.55|3=16098.4|4=15354.74|5=15253.5|S=0|T=20230220T0700,15559.75,1,311495,300,0.10,845,0.27,-25,-0.01,-50345,-0.01,1
3230,Entry short,2023-02-19 22:00,1=15961.5|2=15849.08|3=16096.41|4=15338.71|5=15242.2|S=0|T=20230220T0300,15574.75,1,311495,300,0.10,845,0.27,-25,-0.01,-50345,-0.01,1
3231,Exit long,2023-02-20 06:00,1=15892.25|2=15814.28|3=16082.46|4=15353.98|5=15250.59|S=0|T=20230220T1100,15565.5,1,311195,115,0.04,730,0.23,-130,-0.04,-50230,-0.01,1
3231,Entry long,2023-02-20 02:00,1=15956.33|2=15840.55|3=16098.4|4=15354.74|5=15253.5|S=0|T=20230220T0700,15559.75,1,311195,115,0.04,730,0.23,-130,-0.04,-50230,-0.01,1
3232,Exit short,2023-02-20 10:00,1=15903.66|2=15810.54|3=16082.03|4=15370.53|5=15251.65|S=0|T=20230220T1500,15545.25,1,311310,405,0.13,420,0.13,-20,-0.01,-49825,0.00,1
3232,Entry short,2023-02-20 06:00,1=15892.25|2=15814.28|3=16082.46|4=15353.98|5=15250.59|S=0|T=20230220T1100,15565.5,1,311310,405,0.13,420,0.13,-20,-0.01,-49825,0.00,1
3233,Exit long,2023-02-20 18:00,1=15846.15|2=15778.32|3=16077.48|4=15369.71|5=15250.64|S=0|T=20230220T2300,15526.75,1,310905,-370,-0.12,255,0.08,-660,-0.21,-50195,-0.01,1
