Date and time,Type,Signal
2026-05-13 14:00:00,Exit short,1=29631.07|2=29680.99|3=29613.19|4=29684.12|5=29860.82|S=29814.5|T=20260513T1800
2026-05-13 13:45:00,Entry short,1=29684.29|2=29720.59|3=29635.45|4=29699.88|5=29881.49|S=29737|T=20260513T1745
2026-05-13 14:15:00,Exit long,1=29651.7|2=29698.99|3=29622.41|4=29709.25|5=29876.77|S=29843.25|T=20260513T1815
2026-05-13 14:00:00,Entry long,1=29631.07|2=29680.99|3=29613.19|4=29684.12|5=29860.82|S=29814.5|T=20260513T1800
2026-05-13 14:30:00,Exit short,1=29694.77|2=29725.31|3=29649.6|4=29722.04|5=29889.22|S=29806.25|T=20260513T1830
2026-05-13 14:15:00,Entry short,1=29651.7|2=29698.99|3=29622.41|4=29709.25|5=29876.77|S=29843.25|T=20260513T1815
2026-05-13 14:45:00,Exit long,1=29705.4|2=29717.22|3=29650.42|4=29718.56|5=29884.31|S=29765|T=20260513T1845
2026-05-13 14:30:00,Entry long,1=29694.77|2=29725.31|3=29649.6|4=29722.04|5=29889.22|S=29806.25|T=20260513T1830
2026-05-13 15:00:00,Exit short,1=29706.95|2=29715.73|3=29654.23|4=29715.27|5=29880.79|S=29818|T=20260513T1900
2026-05-13 14:45:00,Entry short,1=29705.4|2=29717.22|3=29650.42|4=29718.56|5=29884.31|S=29765|T=20260513T1845
2026-05-13 15:15:00,Exit long,1=29726.4|2=29729.37|3=29674.13|4=29721.21|5=29885.65|S=29818.25|T=20260513T1915
2026-05-13 15:00:00,Entry long,1=29706.95|2=29715.73|3=29654.23|4=29715.27|5=29880.79|S=29818|T=20260513T1900
2026-05-13 15:30:00,Exit short,1=29699.02|2=29702.69|3=29660.55|4=29707.48|5=29871.04|S=29824.75|T=20260513T1930
2026-05-13 15:15:00,Entry short,1=29726.4|2=29729.37|3=29674.13|4=29721.21|5=29885.65|S=29818.25|T=20260513T1915
2026-05-13 15:45:00,Exit long,1=29733.62|2=29725.52|3=29687.04|4=29723.79|5=29887.81|S=29768.75|T=20260513T1945
2026-05-13 15:30:00,Entry long,1=29699.02|2=29702.69|3=29660.55|4=29707.48|5=29871.04|S=29824.75|T=20260513T1930
2026-05-13 16:00:00,Exit short,1=29720.63|2=29715.27|3=29681.47|4=29713.87|5=29877.66|S=29803.75|T=20260513T2000
2026-05-13 15:45:00,Entry short,1=29733.62|2=29725.52|3=29687.04|4=29723.79|5=29887.81|S=29768.75|T=20260513T1945
2026-05-13 16:15:00,Exit long,1=29734.48|2=29725.35|3=29691.97|4=29719.76|5=29883.33|S=29811|T=20260513T2015
2026-05-13 16:00:00,Entry long,1=29720.63|2=29715.27|3=29681.47|4=29713.87|5=29877.66|S=29803.75|T=20260513T2000
2026-05-13 16:30:00,Exit short,1=29520.28|2=29564.71|3=29591.71|4=29643.91|5=29806.66|S=29832.5|T=20260513T2030
2026-05-13 16:15:00,Entry short,1=29734.48|2=29725.35|3=29691.97|4=29719.76|5=29883.33|S=29811|T=20260513T2015
2026-05-13 16:45:00,Exit long,1=29633.55|2=29659.75|3=29680.13|4=29725|5=29885.2|S=29828.75|T=20260513T2045
2026-05-13 16:30:00,Entry long,1=29520.28|2=29564.71|3=29591.71|4=29643.91|5=29806.66|S=29832.5|T=20260513T2030
2026-05-13 18:00:00,Exit short,1=29652.57|2=29644.67|3=29677.05|4=29710.04|5=29871.22|S=29851|T=20260513T2200
