Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
38,Exit long,2021-02-01 21:00,X,16709.25,1,334075,110,0.03,495,0.15,-170,-0.05,10625,0.01,3
38,Entry long,2021-02-01 20:15,B=1|T=20210202T0115,16703.75,1,334075,110,0.03,495,0.15,-170,-0.05,10625,0.01,3
39,Exit long,2021-02-01 21:15,X,16731.5,1,334185,445,0.13,645,0.19,-30,-0.01,11070,0.01,1
39,Entry long,2021-02-01 21:00,B=0|T=20210202T0200,16709.25,1,334185,445,0.13,645,0.19,-30,-0.01,11070,0.01,1
40,Exit long,2021-02-01 22:30,X,16720.5,1,334630,-220,-0.07,490,0.15,-315,-0.09,10850,0.01,5
40,Entry long,2021-02-01 21:15,B=1|T=20210202T0215,16731.5,1,334630,-220,-0.07,490,0.15,-315,-0.09,10850,0.01,5
41,Exit long,2021-02-01 22:45,X,16728,1,334410,150,0.04,210,0.06,-45,-0.01,11000,0.01,1
41,Entry long,2021-02-01 22:30,B=0|T=20210202T0330,16720.5,1,334410,150,0.04,210,0.06,-45,-0.01,11000,0.01,1
42,Exit long,2021-02-01 23:30,X,16711.75,1,334560,-325,-0.10,100,0.03,-345,-0.10,10675,0.01,3
42,Entry long,2021-02-01 22:45,B=1|T=20210202T0345,16728,1,334560,-325,-0.10,100,0.03,-345,-0.10,10675,0.01,3
43,Exit long,2021-02-02 04:30,X,16754.5,1,334235,855,0.26,880,0.26,-515,-0.15,11530,0.01,20
43,Entry long,2021-02-01 23:30,B=0|T=20210202T0430,16711.75,1,334235,855,0.26,880,0.26,-515,-0.15,11530,0.01,20
44,Exit long,2021-02-02 06:00,X,16739.5,1,335090,-300,-0.09,175,0.05,-370,-0.11,11230,0.01,6
44,Entry long,2021-02-02 04:30,B=1|T=20210202T0930,16754.5,1,335090,-300,-0.09,175,0.05,-370,-0.11,11230,0.01,6
45,Exit long,2021-02-02 09:30,X,16782.5,1,334790,860,0.26,985,0.29,-575,-0.17,12090,0.01,14
45,Entry long,2021-02-02 06:00,B=0|T=20210202T1100,16739.5,1,334790,860,0.26,985,0.29,-575,-0.17,12090,0.01,14
46,Exit long,2021-02-02 21:30,X,16896.75,1,335650,2285,0.68,2720,0.81,-610,-0.18,14375,0.01,43
46,Entry long,2021-02-02 09:30,B=1|T=20210202T1430,16782.5,1,335650,2285,0.68,2720,0.81,-610,-0.18,14375,0.01,43
47,Exit long,2021-02-03 12:30,X,16868.5,1,337935,-565,-0.17,1450,0.43,-2420,-0.72,13810,0.01,60
47,Entry long,2021-02-02 21:30,B=0|T=20210203T0230,16896.75,1,337935,-565,-0.17,1450,0.43,-2420,-0.72,13810,0.01,60
48,Exit long,2021-02-03 13:00,X,16854.5,1,337370,-280,-0.08,175,0.05,-330,-0.10,13530,0.01,2
48,Entry long,2021-02-03 12:30,B=1|T=20210203T1730,16868.5,1,337370,-280,-0.08,175,0.05,-330,-0.10,13530,0.01,2
49,Exit long,2021-02-03 13:15,X,16857.75,1,337090,65,0.02,160,0.05,-210,-0.06,13595,0.01,1
49,Entry long,2021-02-03 13:00,B=0|T=20210203T1800,16854.5,1,337090,65,0.02,160,0.05,-210,-0.06,13595,0.01,1
50,Exit long,2021-02-03 14:45,X,16835,1,337155,-455,-0.13,480,0.14,-455,-0.13,13140,0.01,6
50,Entry long,2021-02-03 13:15,B=1|T=20210203T1815,16857.75,1,337155,-455,-0.13,480,0.14,-455,-0.13,13140,0.01,6
51,Exit long,2021-02-03 20:30,X,16812,1,336700,-460,-0.14,155,0.05,-1270,-0.38,12680,0.01,18
51,Entry long,2021-02-03 14:45,B=0|T=20210203T1945,16835,1,336700,-460,-0.14,155,0.05,-1270,-0.38,12680,0.01,18
52,Exit long,2021-02-03 22:15,X,16794.75,1,336240,-345,-0.10,400,0.12,-565,-0.17,12335,0.01,7
52,Entry long,2021-02-03 20:30,B=1|T=20210204T0130,16812,1,336240,-345,-0.10,400,0.12,-565,-0.17,12335,0.01,7
53,Exit long,2021-02-04 00:45,X,16766.25,1,335895,-570,-0.17,40,0.01,-1295,-0.39,11765,0.01,10
53,Entry long,2021-02-03 22:15,B=0|T=20210204T0315,16794.75,1,335895,-570,-0.17,40,0.01,-1295,-0.39,11765,0.01,10
54,Exit long,2021-02-04 01:00,X,16762.5,1,335325,-75,-0.02,70,0.02,-280,-0.08,11690,0.01,1
54,Entry long,2021-02-04 00:45,B=1|T=20210204T0545,16766.25,1,335325,-75,-0.02,70,0.02,-280,-0.08,11690,0.01,1
55,Exit long,2021-02-04 01:15,X,16780.5,1,335250,360,0.11,530,0.16,0,0.00,12050,0.01,1
55,Entry long,2021-02-04 01:00,B=0|T=20210204T0600,16762.5,1,335250,360,0.11,530,0.16,0,0.00,12050,0.01,1
56,Exit long,2021-02-04 09:30,X,16815.25,1,335610,695,0.21,1690,0.50,-230,-0.07,12745,0.01,33
56,Entry long,2021-02-04 01:15,B=1|T=20210204T0615,16780.5,1,335610,695,0.21,1690,0.50,-230,-0.07,12745,0.01,33
57,Exit long,2021-02-04 11:00,X,16814.75,1,336305,-10,0.00,620,0.18,-775,-0.23,12735,0.01,6
57,Entry long,2021-02-04 09:30,B=0|T=20210204T1430,16815.25,1,336305,-10,0.00,620,0.18,-775,-0.23,12735,0.01,6
58,Exit long,2021-02-05 03:00,X,16980.25,1,336295,3310,0.98,3775,1.12,-85,-0.03,16045,0.02,59
58,Entry long,2021-02-04 11:00,B=1|T=20210204T1600,16814.75,1,336295,3310,0.98,3775,1.12,-85,-0.03,16045,0.02,59
59,Exit long,2021-02-05 12:30,X,17003.25,1,339605,460,0.14,565,0.17,-1520,-0.45,16505,0.02,38
59,Entry long,2021-02-05 03:00,B=0|T=20210205T0800,16980.25,1,339605,460,0.14,565,0.17,-1520,-0.45,16505,0.02,38
60,Exit long,2021-02-05 13:30,X,16998.75,1,340065,-90,-0.03,400,0.12,-240,-0.07,16415,0.02,4
60,Entry long,2021-02-05 12:30,B=1|T=20210205T1730,17003.25,1,340065,-90,-0.03,400,0.12,-240,-0.07,16415,0.02,4
61,Exit long,2021-02-07 18:00,X,17019.25,1,339975,410,0.12,675,0.20,-910,-0.27,16825,0.02,13
61,Entry long,2021-02-05 13:30,B=0|T=20210205T1830,16998.75,1,339975,410,0.12,675,0.20,-910,-0.27,16825,0.02,13
62,Exit long,2021-02-08 02:45,X,17046.25,1,340385,540,0.16,1055,0.31,-205,-0.06,17365,0.02,35
62,Entry long,2021-02-07 18:00,B=1|T=20210207T2300,17019.25,1,340385,540,0.16,1055,0.31,-205,-0.06,17365,0.02,35
63,Exit long,2021-02-08 15:30,X,17040.75,1,340925,-110,-0.03,630,0.18,-1310,-0.38,17255,0.02,51
63,Entry long,2021-02-08 02:45,B=0|T=20210208T0745,17046.25,1,340925,-110,-0.03,630,0.18,-1310,-0.38,17255,0.02,51
64,Exit long,2021-02-09 02:00,X,17051.5,1,340815,215,0.06,840,0.25,-155,-0.05,17470,0.02,37
64,Entry long,2021-02-08 15:30,B=1|T=20210208T2030,17040.75,1,340815,215,0.06,840,0.25,-155,-0.05,17470,0.02,37
65,Exit long,2021-02-09 09:45,X,17088.75,1,341030,745,0.22,830,0.24,-655,-0.19,18215,0.02,31
65,Entry long,2021-02-09 02:00,B=0|T=20210209T0700,17051.5,1,341030,745,0.22,830,0.24,-655,-0.19,18215,0.02,31
66,Exit long,2021-02-09 11:15,X,17061.75,1,341775,-540,-0.16,625,0.18,-730,-0.21,17675,0.02,6
66,Entry long,2021-02-09 09:45,B=1|T=20210209T1445,17088.75,1,341775,-540,-0.16,625,0.18,-730,-0.21,17675,0.02,6
67,Exit long,2021-02-09 11:30,X,17082.5,1,341235,415,0.12,470,0.14,-35,-0.01,18090,0.02,1
67,Entry long,2021-02-09 11:15,B=0|T=20210209T1615,17061.75,1,341235,415,0.12,470,0.14,-35,-0.01,18090,0.02,1
68,Exit long,2021-02-09 13:15,X,17060.25,1,341650,-445,-0.13,160,0.05,-485,-0.14,17645,0.02,7
68,Entry long,2021-02-09 11:30,B=1|T=20210209T1630,17082.5,1,341650,-445,-0.13,160,0.05,-485,-0.14,17645,0.02,7
69,Exit long,2021-02-09 14:15,X,17079.75,1,341205,390,0.11,425,0.12,-275,-0.08,18035,0.02,4
69,Entry long,2021-02-09 13:15,B=0|T=20210209T1815,17060.25,1,341205,390,0.11,425,0.12,-275,-0.08,18035,0.02,4
70,Exit long,2021-02-09 15:45,X,17065.25,1,341595,-290,-0.08,315,0.09,-615,-0.18,17745,0.02,6
70,Entry long,2021-02-09 14:15,B=1|T=20210209T1915,17079.75,1,341595,-290,-0.08,315,0.09,-615,-0.18,17745,0.02,6
71,Exit long,2021-02-09 16:45,X,17082.25,1,341305,340,0.10,380,0.11,-25,-0.01,18085,0.02,3
71,Entry long,2021-02-09 15:45,B=0|T=20210209T2045,17065.25,1,341305,340,0.10,380,0.11,-25,-0.01,18085,0.02,3
72,Exit long,2021-02-09 18:00,X,17075,1,341645,-145,-0.04,125,0.04,-190,-0.06,17940,0.02,1
72,Entry long,2021-02-09 16:45,B=1|T=20210209T2145,17082.25,1,341645,-145,-0.04,125,0.04,-190,-0.06,17940,0.02,1
73,Exit long,2021-02-09 20:15,X,17089.75,1,341500,295,0.09,485,0.14,-225,-0.07,18235,0.02,9
73,Entry long,2021-02-09 18:00,B=0|T=20210209T2300,17075,1,341500,295,0.09,485,0.14,-225,-0.07,18235,0.02,9
74,Exit long,2021-02-10 05:00,X,17125.25,1,341795,710,0.21,1285,0.38,-55,-0.02,18945,0.02,35
74,Entry long,2021-02-09 20:15,B=1|T=20210210T0115,17089.75,1,341795,710,0.21,1285,0.38,-55,-0.02,18945,0.02,35
75,Exit long,2021-02-10 21:30,X,17036.25,1,342505,-1780,-0.52,430,0.13,-4455,-1.30,17165,0.02,61
75,Entry long,2021-02-10 05:00,B=0|T=20210210T1000,17125.25,1,342505,-1780,-0.52,430,0.13,-4455,-1.30,17165,0.02,61
76,Exit long,2021-02-11 12:15,X,17034.25,1,340725,-40,-0.01,1845,0.54,-195,-0.06,17125,0.02,59
76,Entry long,2021-02-10 21:30,B=1|T=20210211T0230,17036.25,1,340725,-40,-0.01,1845,0.54,-195,-0.06,17125,0.02,59
77,Exit long,2021-02-11 13:30,X,17096.25,1,340685,1240,0.36,1350,0.40,-500,-0.15,18365,0.02,5
77,Entry long,2021-02-11 12:15,B=0|T=20210211T1715,17034.25,1,340685,1240,0.36,1350,0.40,-500,-0.15,18365,0.02,5
78,Exit long,2021-02-11 13:45,X,17080.75,1,341925,-310,-0.09,25,0.01,-375,-0.11,18055,0.02,1
78,Entry long,2021-02-11 13:30,B=1|T=20210211T1830,17096.25,1,341925,-310,-0.09,25,0.01,-375,-0.11,18055,0.02,1
79,Exit long,2021-02-11 15:45,X,17110.5,1,341615,595,0.17,785,0.23,-1120,-0.33,18650,0.02,8
