Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
54,Entry long,2021-02-24 10:00,B=1|T=20210224T1500,16490.5,1,329810,515,0.16,4960,1.50,-990,-0.30,7690,0.01,23
55,Exit long,2021-02-26 08:00,X,16341.5,1,330325,-3495,-1.06,745,0.23,-9385,-2.84,4195,0.00,21
55,Entry long,2021-02-25 10:00,B=0|T=20210225T1500,16516.25,1,330325,-3495,-1.06,745,0.23,-9385,-2.84,4195,0.00,21
56,Exit long,2021-03-02 11:00,X,16524,1,326830,3650,1.12,7430,2.27,-4095,-1.25,7845,0.01,49
56,Entry long,2021-02-26 08:00,B=1|T=20210226T1300,16341.5,1,326830,3650,1.12,7430,2.27,-4095,-1.25,7845,0.01,49
57,Exit long,2021-03-02 12:00,X,16552.5,1,330480,570,0.17,1100,0.33,-355,-0.11,8415,0.01,1
57,Entry long,2021-03-02 11:00,B=0|T=20210302T1600,16524,1,330480,570,0.17,1100,0.33,-355,-0.11,8415,0.01,1
58,Exit long,2021-03-02 15:00,X,16443,1,331050,-2190,-0.66,890,0.27,-2390,-0.72,6225,0.01,3
58,Entry long,2021-03-02 12:00,B=1|T=20210302T1700,16552.5,1,331050,-2190,-0.66,890,0.27,-2390,-0.72,6225,0.01,3
59,Exit long,2021-03-05 07:00,X,15879.5,1,328860,-11270,-3.43,2675,0.81,-15075,-4.58,-5045,-0.01,61
59,Entry long,2021-03-02 15:00,B=0|T=20210302T2000,16443,1,328860,-11270,-3.43,2675,0.81,-15075,-4.58,-5045,-0.01,61
60,Exit long,2021-03-05 09:00,X,15808.5,1,317590,-1420,-0.45,2755,0.87,-2725,-0.86,-6465,-0.01,2
60,Entry long,2021-03-05 07:00,B=1|T=20210305T1200,15879.5,1,317590,-1420,-0.45,2755,0.87,-2725,-0.86,-6465,-0.01,2
61,Exit long,2021-03-05 13:00,X,15972.25,1,316170,3275,1.04,4040,1.28,-4330,-1.37,-3190,0.00,4
61,Entry long,2021-03-05 09:00,B=0|T=20210305T1400,15808.5,1,316170,3275,1.04,4040,1.28,-4330,-1.37,-3190,0.00,4
62,Exit long,2021-03-08 15:00,X,15685.25,1,319445,-5740,-1.80,3475,1.09,-6115,-1.91,-8930,-0.01,25
62,Entry long,2021-03-05 13:00,B=1|T=20210305T1800,15972.25,1,319445,-5740,-1.80,3475,1.09,-6115,-1.91,-8930,-0.01,25
63,Exit long,2021-03-08 21:00,X,15818.75,1,313705,2670,0.85,2880,0.92,-145,-0.05,-6260,-0.01,5
63,Entry long,2021-03-08 15:00,B=0|T=20210308T2000,15685.25,1,313705,2670,0.85,2880,0.92,-145,-0.05,-6260,-0.01,5
64,Exit long,2021-03-12 00:00,X,16400,1,316375,11625,3.67,13705,4.33,-1350,-0.43,5365,0.01,72
64,Entry long,2021-03-08 21:00,B=1|T=20210309T0200,15818.75,1,316375,11625,3.67,13705,4.33,-1350,-0.43,5365,0.01,72
65,Exit long,2021-03-15 06:00,X,16355.25,1,328000,-895,-0.27,135,0.04,-4940,-1.51,4470,0.00,29
