trade_date,year,dow,month,tdom,tdom_rev,atr14_prior,opex_week,opex_friday,quarter_opex,half_day,pre_holiday,post_holiday,fomc_proxy,spike1400,spike0830,seg_rth_full,seg_am1_0930_1030,seg_am2_0930_1100,seg_open15,seg_mid_1100_1400,seg_pm_1400_1600,seg_lasthr_1500_1600,seg_pre30_1500_1530,seg_close30_1530_1600,seg_pre15_1545_1600,seg_fomc30_1400_1430,seg_fomc60_1400_1500,seg_on_sess_1800_0930,seg_rel830_0830_0930,seg_half_0930_1300,seg_gap
2022-09-13,2022,1,9,9,-14,315.1730769230769,True,False,False,False,False,False,False,1.0017618127643,3.926200864564282,-337.5,-92.79999999999927,-167.20000000000073,-54.79999999999927,-15.599999999998545,-154.70000000000073,-79.5,-58.5,-21.0,36.29999999999927,-34.0,-75.20000000000073,-389.0,-164.79999999999927,-187.20000000000073,-370.0
2022-09-14,2022,2,9,10,-13,370.5,True,False,False,False,False,False,False,1.0087189237485867,1.030848644734558,64.0,-51.70000000000073,46.599999999998545,36.0,-51.29999999999927,68.70000000000073,77.20000000000073,-40.0,117.20000000000073,76.0,12.0,-8.5,26.700000000000728,26.200000000000728,73.29999999999927,50.5
2022-09-15,2022,3,9,11,-12,365.59615384615387,True,False,False,False,False,False,False,1.1356168352890759,0.8464006301868525,-112.20000000000073,-6.0,-118.5,31.0,67.5,-61.20000000000073,8.299999999999272,-56.29999999999927,64.59999999999854,19.799999999999272,-27.799999999999272,-69.5,-108.5,-58.0,-34.0,-86.25
2022-09-16,2022,4,9,12,-11,344.63461538461536,True,True,True,False,False,False,False,0.5743858897084577,0.33109418535963153,94.0,33.5,-8.0,-12.0,-8.200000000000728,110.20000000000073,32.20000000000073,-18.599999999998545,50.79999999999927,26.5,39.70000000000073,78.0,-101.20000000000073,-22.5,1.5,-137.75
2022-09-19,2022,0,9,13,-10,342.2307692307692,False,False,False,False,False,False,False,0.7775239325047493,0.23533940078719628,199.0,73.0,110.0,78.79999999999927,-36.20000000000073,125.20000000000073,75.20000000000073,58.70000000000073,16.5,10.5,16.700000000000728,50.0,-83.5,1.2000000000007276,107.0,-107.5
2022-09-20,2022,1,9,14,-9,328.9807692307692,False,False,False,False,False,False,False,1.0561629050968415,0.39887079484882754,8.599999999998545,-4.700000000000728,40.0,-24.700000000000728,-119.70000000000073,88.29999999999927,18.799999999999272,-3.0,21.799999999999272,-33.20000000000073,36.0,69.5,-123.0,-9.299999999999272,26.799999999999272,-110.5
2022-09-21,2022,2,9,15,-8,331.09615384615387,False,False,False,False,False,False,True,4.382943868798038,0.5352623853438291,-277.5,11.0,-17.200000000000728,-7.799999999999272,-78.0,-182.29999999999927,-355.7000000000007,-217.20000000000073,-138.5,-43.70000000000073,-51.29999999999927,173.40000000000146,28.5,7.5,12.799999999999272,37.0
2022-09-22,2022,3,9,16,-7,343.0769230769231,False,False,False,False,False,False,False,0.5790685684825571,0.57088485089679,-121.5,-95.0,-134.5,-82.5,54.5,-41.5,-36.0,35.0,-71.0,-91.79999999999927,-61.5,-5.5,6.0,-12.5,-94.0,-61.75
2022-09-23,2022,4,9,17,-6,332.6730769230769,False,False,False,False,False,False,False,0.9574591516044251,0.2636291636609444,-67.0,-54.20000000000073,-80.79999999999927,-44.0,-43.400000000001455,57.20000000000073,130.20000000000073,89.40000000000146,40.79999999999927,4.200000000000728,-49.79999999999927,-73.0,-125.5,26.200000000000728,-98.20000000000073,-102.0
2022-09-26,2022,0,9,18,-5,335.42857142857144,False,False,False,False,False,False,False,1.1741080015599714,0.3222258888220273,-62.20000000000073,135.20000000000073,88.5,47.79999999999927,-157.70000000000073,7.0,-86.20000000000073,-33.0,-53.20000000000073,-50.0,26.0,93.20000000000073,9.5,45.20000000000073,-6.0,-21.75
