trade_date,year,dow,roll_day,atr14_prior,prior_rth_close,gap,rth_open,rth_close,rth_high,rth_low,rth_high_min,rth_low_min,rth_vol,rth_ret,prior_sym,sym,p0930,p1000,p1030,p1100,p1130,p1200,p1230,p1300,p1330,p1400,p1430,p1500,p1515,p1530,p1545,p1600
2025-08-07,2025,3,0,261.85714285714283,23410.25,179.75,23590.0,23525.0,23671.0,23329.0,1000,1423,432228,-65.0,NQU5,NQU5,23590.0,23654.25,23549.5,23545.25,23530.25,23495.0,23500.25,23476.25,23402.25,23427.25,23350.0,23411.25,23399.25,23409.5,23449.75,23525.0
2025-08-08,2025,4,0,276.25,23525.0,37.25,23562.25,23723.25,23725.0,23530.0,1600,0934,358817,161.0,NQU5,NQU5,23562.25,23638.25,23683.75,23655.5,23649.75,23678.0,23689.5,23673.75,23671.5,23714.75,23710.25,23713.75,23711.0,23702.25,23689.0,23723.25
2025-08-11,2025,0,0,276.3392857142857,23723.25,-3.5,23719.75,23637.25,23804.5,23587.5,1211,1556,350229,-82.5,NQU5,NQU5,23719.75,23739.0,23751.75,23728.0,23730.5,23761.75,23785.0,23737.25,23734.75,23687.75,23692.25,23686.0,23656.0,23658.0,23639.75,23637.25
2025-08-12,2025,1,0,274.57142857142856,23637.25,101.0,23738.25,23934.0,23950.0,23622.0,1554,1001,370569,195.75,NQU5,NQU5,23738.25,23628.25,23758.5,23776.75,23824.0,23852.75,23881.25,23896.25,23886.5,23918.0,23917.25,23908.25,23910.0,23926.5,23921.75,23934.0
2025-08-13,2025,2,0,285.25,23934.0,97.25,24031.25,23946.5,24068.5,23886.0,0938,1250,372375,-84.75,NQU5,NQU5,24031.25,24003.75,23963.75,23951.75,23926.25,23924.75,23914.25,23909.75,23938.25,23937.25,23928.0,23936.75,23937.5,23932.5,23917.5,23946.5
2025-08-14,2025,3,0,289.26785714285717,23946.5,-99.25,23847.25,23917.0,24007.75,23841.25,1047,0931,383117,69.75,NQU5,NQU5,23847.25,23939.0,23962.75,23951.25,23891.25,23927.0,23893.25,23953.0,23972.25,23952.75,23900.25,23923.5,23922.5,23923.25,23947.75,23917.0
2025-08-15,2025,4,0,290.7857142857143,23917.0,-55.5,23861.5,23796.75,23911.0,23734.5,0930,1144,355647,-64.75,NQU5,NQU5,23861.5,23794.75,23858.5,23793.75,23804.5,23788.25,23769.25,23812.5,23815.5,23840.25,23823.25,23802.0,23812.0,23807.5,23823.5,23796.75
2025-08-18,2025,0,0,296.05357142857144,23796.75,4.75,23801.5,23789.5,23824.25,23719.0,1025,1047,316141,-12.0,NQU5,NQU5,23801.5,23750.25,23769.25,23779.25,23738.75,23751.0,23777.5,23742.75,23781.0,23751.75,23769.0,23792.5,23793.25,23787.5,23801.75,23789.5
2025-08-19,2025,1,0,287.05357142857144,23789.5,-34.5,23755.0,23482.0,23770.5,23426.0,0930,1507,465002,-273.0,NQU5,NQU5,23755.0,23674.0,23626.0,23531.5,23576.5,23570.75,23531.25,23488.25,23489.5,23501.0,23470.75,23447.5,23439.5,23466.0,23469.5,23482.0
2025-08-20,2025,2,0,296.375,23482.0,-96.5,23385.5,23326.75,23432.0,23035.0,0930,1053,583451,-58.75,NQU5,NQU5,23385.5,23188.75,23092.0,23072.5,23217.0,23179.0,23286.0,23239.25,23256.25,23256.25,23209.25,23256.75,23315.5,23320.25,23340.5,23326.75
2025-08-21,2025,3,0,296.4107142857143,23326.75,-126.25,23200.5,23214.5,23348.25,23119.0,1029,1325,415680,14.0,NQU5,NQU5,23200.5,23217.5,23318.75,23301.0,23269.0,23188.75,23199.0,23166.25,23145.75,23218.25,23191.5,23229.5,23242.25,23236.25,23211.25,23214.5
2025-08-22,2025,4,0,270.3392857142857,23214.5,-4.0,23210.5,23565.75,23650.0,23205.5,1104,0931,400273,355.25,NQU5,NQU5,23210.5,23458.5,23568.25,23616.75,23631.25,23569.25,23542.75,23542.25,23611.75,23615.0,23600.5,23589.75,23573.0,23578.75,23559.0,23565.75
2025-08-25,2025,0,0,271.76785714285717,23565.75,-68.25,23497.5,23499.0,23616.25,23443.25,1153,0934,304602,1.5,NQU5,NQU5,23497.5,23515.25,23537.75,23576.5,23595.0,23606.75,23597.5,23590.25,23588.25,23570.25,23563.75,23553.25,23557.75,23553.0,23544.75,23499.0
2025-08-26,2025,1,0,263.85714285714283,23499.0,-29.75,23469.25,23589.0,23600.0,23427.0,1553,0949,333362,119.75,NQU5,NQU5,23469.25,23502.5,23542.0,23519.25,23509.0,23525.0,23543.75,23538.25,23532.0,23506.5,23544.25,23551.75,23545.25,23567.25,23546.25,23589.0
2025-08-27,2025,2,0,253.85714285714286,23589.0,-55.25,23533.75,23626.25,23657.5,23487.5,1416,0949,324093,92.5,NQU5,NQU5,23533.75,23533.5,23605.5,23602.75,23595.5,23618.75,23567.25,23595.75,23603.5,23621.5,23647.75,23619.75,23583.5,23601.0,23624.5,23626.25
2025-08-28,2025,3,0,241.57142857142858,23626.25,78.5,23704.75,23754.75,23803.75,23572.5,1554,0957,374880,50.0,NQU5,NQU5,23704.75,23599.75,23633.25,23712.5,23691.25,23685.0,23740.25,23725.25,23761.5,23763.75,23779.75,23790.75,23782.0,23771.5,23787.0,23754.75
2025-08-29,2025,4,0,243.80357142857142,23754.75,-104.25,23650.5,23465.75,23668.0,23397.5,0930,1317,432085,-184.75,NQU5,NQU5,23650.5,23544.0,23495.75,23449.75,23468.75,23438.0,23464.75,23458.75,23441.25,23447.25,23454.25,23452.75,23470.25,23470.5,23477.75,23465.75
2025-09-01,2025,0,0,253.82142857142858,23465.75,-5.5,23460.25,23488.0,23506.75,23441.75,1133,0931,23044,27.75,NQU5,NQU5,23460.25,23488.5,23485.75,23488.5,23504.25,23496.5,23488.0,23488.0,23488.0,23488.0,23488.0,23488.0,23488.0,23488.0,23488.0,23488.0
2025-09-02,2025,1,0,235.03571428571428,23488.0,-432.5,23055.5,23275.25,23290.25,23025.25,1557,0931,470394,219.75,NQU5,NQU5,23055.5,23254.25,23239.25,23179.0,23099.5,23058.75,23076.75,23129.25,23171.0,23207.0,23177.0,23210.0,23220.0,23238.25,23249.25,23275.25
2025-09-03,2025,2,0,255.05357142857142,23275.25,137.0,23412.25,23466.5,23525.25,23318.25,1050,1439,444045,54.25,NQU5,NQU5,23412.25,23414.25,23452.75,23508.0,23422.0,23414.5,23429.75,23418.75,23431.25,23339.5,23340.5,23331.5,23340.0,23362.25,23404.0,23466.5
2025-09-04,2025,3,0,261.01785714285717,23466.5,3.5,23470.0,23665.0,23680.25,23410.0,1558,1017,375043,195.0,NQU5,NQU5,23470.0,23470.0,23495.0,23529.75,23539.5,23534.0,23530.25,23548.75,23571.25,23589.5,23599.25,23620.5,23635.0,23629.0,23634.5,23665.0
2025-09-05,2025,4,0,267.2857142857143,23665.0,188.0,23853.0,23682.5,23902.0,23505.0,0930,1110,546220,-170.5,NQU5,NQU5,23853.0,23826.0,23654.0,23550.75,23624.0,23629.0,23623.0,23648.5,23634.5,23618.75,23651.5,23651.5,23667.0,23680.75,23662.0,23682.5
2025-09-08,2025,0,0,288.125,23682.5,105.25,23787.75,23801.75,23888.0,23760.0,1046,1523,367138,14.0,NQU5,NQU5,23787.75,23847.25,23872.0,23864.5,23875.75,23861.5,23832.25,23813.5,23806.5,23778.75,23809.0,23785.5,23765.25,23779.0,23806.75,23801.75
2025-09-09,2025,1,0,276.8392857142857,23801.75,24.5,23826.25,23860.25,23890.0,23726.0,1555,1043,368625,34.0,NQU5,NQU5,23826.25,23786.0,23801.5,23786.0,23779.5,23784.0,23814.0,23828.0,23843.0,23839.5,23832.75,23839.75,23841.25,23857.5,23845.5,23860.25
2025-09-10,2025,2,0,256.625,23860.25,82.0,23942.25,23875.25,24000.5,23785.0,0930,1521,409499,-67.0,NQU5,NQU5,23942.25,23947.25,23970.5,23974.5,23932.0,23944.5,23920.25,23930.25,23882.75,23893.5,23857.75,23861.5,23817.0,23816.25,23858.5,23875.25
2025-09-11,2025,3,0,255.64285714285714,23875.25,104.75,23980.0,24006.25,24046.0,23909.75,1118,0945,337041,26.25,NQU5,NQU5,23980.0,23966.5,23971.5,24003.25,24042.25,24028.5,24026.25,24006.5,24022.0,24029.75,24021.25,24030.25,24023.25,24037.0,24033.5,24006.25
2025-09-12,2025,4,0,236.08928571428572,24006.25,40.75,24047.0,24099.5,24159.0,24001.5,1457,0938,311086,52.5,NQU5,NQU5,24047.0,24043.75,24068.25,24110.0,24081.5,24084.5,24104.25,24109.25,24102.75,24119.25,24122.0,24155.75,24136.5,24120.5,24118.0,24099.5
