date,n_bars,day_range,absmove_5m,absmove_15m,absmove_30m,absmove_60m,absmove_30m_rth
2021-08-29,360,35.79999999999927,1.5,2.2,4.3,5.0,
2021-08-30,1380,186.79999999999927,1.7,3.2,4.5,4.8,12.05
2021-08-31,1380,159.40000000000146,2.8,5.0,7.6,12.7,12.1
2021-09-01,1380,113.0,2.2,4.2,4.8,8.0,4.9
2021-09-02,1380,130.20000000000073,2.0,3.7,5.8,8.6,16.2
2021-09-03,1020,125.29999999999927,2.2,4.2,6.7,5.9,7.4
2021-09-05,357,21.299999999999272,1.6,2.0,3.2,2.0,
2021-09-06,1138,51.29999999999927,1.2,1.8,3.7,4.75,
2021-09-07,1380,94.70000000000073,2.0,4.0,6.3,5.9,9.5
2021-09-08,1380,161.40000000000146,2.6,3.7,7.3,10.05,14.25
2021-09-09,1380,130.0,2.8,5.0,8.4,10.2,13.0
2021-09-10,1019,234.20000000000073,2.3,3.7,6.2,13.4,11.25
2021-09-12,360,57.79999999999927,3.5,3.7,9.5,20.5,
2021-09-13,1379,214.70000000000073,2.8,5.2,9.7,16.15,41.15
2021-09-14,1380,179.70000000000073,3.0,6.4,10.2,12.15,23.4
2021-09-15,1380,213.0,2.7,3.5,5.8,9.3,21.75
2021-09-16,1380,173.70000000000073,3.0,5.5,4.7,11.5,10.85
2021-09-17,1020,252.0,3.8,6.3,8.8,11.9,25.85
2021-09-19,360,133.0,3.0,4.3,17.2,21.5,
2021-09-20,1380,456.0,5.7,11.2,15.3,19.8,26.65
2021-09-21,1380,232.70000000000073,5.3,9.8,18.4,26.0,22.4
2021-09-22,1380,212.20000000000073,4.6,6.8,8.0,15.65,19.55
2021-09-23,1380,171.79999999999927,3.6,6.6,9.5,15.2,8.3
2021-09-24,1020,157.40000000000146,4.0,8.5,11.8,23.9,19.05
2021-09-26,360,97.0,2.3,3.4,7.3,17.0,
2021-09-27,1380,315.2000000000007,4.0,7.7,11.3,22.05,20.75
2021-09-28,1380,451.40000000000146,7.0,12.2,23.0,25.05,42.6
2021-09-29,1380,215.0,6.0,10.2,17.4,21.35,36.65
2021-09-30,1380,309.0,6.2,10.4,12.0,13.25,18.9
2021-10-01,1020,281.0,6.5,12.7,17.2,30.9,35.65
2021-10-03,360,139.0,5.3,9.0,16.5,25.0,
2021-10-04,1380,383.7000000000007,7.0,11.0,17.0,27.2,24.4
2021-10-05,1380,302.2999999999993,5.3,9.8,14.5,16.5,15.5
2021-10-06,1380,465.5,5.6,11.0,19.0,25.25,37.05
2021-10-07,1380,169.0,4.7,6.7,13.0,17.85,18.0
2021-10-08,1020,205.20000000000073,5.2,9.0,16.0,26.3,20.35
2021-10-10,360,125.0,4.3,6.2,12.0,38.4,
2021-10-11,1380,301.2000000000007,5.0,10.2,12.7,22.4,16.2
2021-10-12,1380,197.70000000000073,4.5,9.5,11.8,18.2,13.25
2021-10-13,1380,245.0,4.0,6.2,10.0,13.85,15.95
2021-10-14,1379,281.0,3.2,5.0,8.8,15.55,9.9
2021-10-15,1020,109.0,4.0,6.5,7.2,11.85,7.95
2021-10-17,360,87.0,3.2,3.0,9.0,24.0,
2021-10-18,1380,277.7000000000007,3.2,5.0,9.3,14.55,15.25
2021-10-19,1380,147.40000000000146,2.8,4.7,7.0,9.85,7.4
2021-10-20,1380,127.5,2.7,4.8,8.2,10.1,13.85
2021-10-21,1380,182.79999999999927,3.5,6.7,9.2,16.2,12.65
2021-10-22,1020,189.70000000000073,4.0,7.0,9.8,14.25,24.8
2021-10-24,360,62.20000000000073,2.0,4.6,5.2,9.0,
2021-10-25,1380,261.2999999999993,2.7,4.7,6.8,10.4,10.8
2021-10-26,1380,198.0,3.6,5.7,4.2,15.1,16.65
2021-10-27,1380,210.29999999999927,3.2,5.0,8.2,14.65,14.65
2021-10-28,1380,185.20000000000073,3.8,6.4,9.4,14.5,12.4
2021-10-29,1020,269.2999999999993,4.3,7.0,11.6,11.4,17.7
2021-10-31,360,54.0,2.5,4.7,2.8,9.3,
2021-11-01,1379,146.29999999999927,2.5,4.2,8.2,9.6,8.9
2021-11-02,1380,128.40000000000146,2.7,4.0,5.0,5.9,12.6
2021-11-03,1380,251.79999999999927,2.5,4.2,5.3,9.65,7.5
2021-11-04,1380,219.79999999999927,3.0,5.6,8.0,8.35,24.0
2021-11-05,1020,156.5,4.2,8.0,10.8,15.85,11.05
2021-11-07,360,78.79999999999927,3.0,3.8,3.6,9.8,
2021-11-08,1379,111.5,2.7,5.5,9.0,8.65,14.4
2021-11-09,1380,259.2999999999993,3.3,5.0,9.0,14.3,18.1
2021-11-10,1380,346.5,4.7,10.2,14.7,23.85,23.7
2021-11-11,1380,123.5,3.7,6.3,7.4,10.25,10.2
2021-11-12,1020,211.40000000000146,3.7,5.7,11.0,17.1,23.55
2021-11-14,360,35.5,1.8,3.0,3.0,5.2,
2021-11-15,1380,194.29999999999927,2.7,4.7,7.8,9.2,14.35
2021-11-16,1380,181.79999999999927,3.0,5.0,5.8,10.15,6.7
2021-11-17,1380,126.5,2.7,5.5,6.4,7.5,19.35
2021-11-18,1380,286.5,3.2,5.0,7.0,9.3,20.9
2021-11-19,1020,120.5,3.8,6.3,8.0,11.4,15.25
2021-11-21,360,49.400000000001455,1.7,3.4,6.6,8.5,
2021-11-22,1380,448.2999999999993,3.5,5.4,9.0,13.25,25.4
2021-11-23,1380,300.2999999999993,5.5,11.3,14.2,14.7,50.1
2021-11-24,1380,295.0,4.0,7.3,13.4,22.15,23.25
2021-11-25,1140,180.5,3.2,5.0,6.0,11.6,
2021-11-26,795,320.0,9.5,11.3,21.65,19.6,
2021-11-28,360,213.0,4.3,8.0,6.5,25.5,
2021-11-29,1380,274.5,5.0,8.5,15.0,19.75,15.0
2021-11-30,1380,387.40000000000146,8.6,17.0,22.0,30.45,38.85
2021-12-01,1380,602.2999999999993,7.5,14.8,20.0,20.75,34.9
2021-12-02,1380,303.40000000000146,8.6,17.3,19.0,26.45,49.65
2021-12-03,1020,583.7999999999993,9.2,14.5,22.8,35.6,55.15
2021-12-05,360,79.40000000000146,4.0,8.7,9.5,14.8,
2021-12-06,1380,340.59999999999854,6.2,12.8,18.3,27.2,35.1
2021-12-07,1380,534.7999999999993,5.0,9.5,13.0,31.1,18.0
2021-12-08,1380,185.29999999999927,3.5,6.8,9.0,19.0,14.2
2021-12-09,1378,294.0,4.2,6.5,9.2,14.05,28.1
2021-12-10,1020,201.5,5.3,10.0,13.5,24.5,17.25
2021-12-12,359,84.0,2.7,4.2,6.0,13.8,
2021-12-13,1380,349.2000000000007,3.3,5.0,7.0,8.45,24.8
2021-12-14,1380,398.7999999999993,4.7,8.3,17.0,15.95,28.95
2021-12-15,1380,597.5999999999985,5.0,11.0,14.8,21.4,29.0
2021-12-16,1380,691.7999999999993,7.0,12.4,23.0,27.15,46.9
2021-12-17,1020,304.7000000000007,10.2,18.7,21.3,35.85,32.5
2021-12-19,360,263.59999999999854,7.5,12.0,25.3,34.3,
2021-12-20,1380,285.5,6.6,11.4,17.0,28.65,30.5
2021-12-21,1380,382.2000000000007,4.7,8.4,16.3,19.75,37.75
2021-12-22,1378,313.5,3.8,6.7,9.2,22.0,20.4
2021-12-23,1020,210.79999999999927,3.3,6.3,10.3,9.15,14.75
2021-12-26,360,58.79999999999927,2.0,4.2,4.7,5.5,
2021-12-27,1380,276.2999999999993,2.2,5.0,6.7,7.1,9.45
2021-12-28,1380,207.29999999999927,3.5,7.5,12.5,16.65,19.5
2021-12-29,1380,176.70000000000073,3.2,5.5,9.2,10.45,19.5
2021-12-30,1380,216.70000000000073,3.3,5.5,8.0,11.0,14.95
2021-12-31,1020,150.20000000000073,3.3,5.2,9.3,14.6,9.5
2022-01-02,360,71.79999999999927,3.0,3.8,8.3,13.2,
2022-01-03,1378,235.20000000000073,2.8,5.5,8.8,15.0,25.2
2022-01-04,1380,424.5,3.8,7.8,10.3,20.5,26.95
2022-01-05,1380,639.0,6.4,10.0,14.0,15.6,39.45
2022-01-06,1380,297.2999999999993,7.2,11.8,18.7,16.15,20.85
2022-01-07,1020,317.7999999999993,8.0,14.2,19.0,32.2,28.35
2022-01-09,360,129.5,4.5,9.0,13.5,14.8,
2022-01-10,1380,516.5,7.0,15.7,22.8,23.8,57.5
2022-01-11,1380,371.5,4.7,9.8,9.8,14.15,32.6
2022-01-12,1380,246.70000000000073,5.4,9.4,14.7,21.95,17.0
2022-01-13,1380,565.7999999999993,7.0,10.0,17.6,15.8,26.0
2022-01-14,1020,308.5,9.0,15.0,28.3,21.65,52.35
2022-01-16,360,146.0,5.3,7.7,7.3,24.5,
2022-01-17,1140,229.70000000000073,4.0,7.7,10.5,7.65,
2022-01-18,1380,398.0,7.2,11.2,20.0,23.35,27.4
2022-01-19,1380,378.2000000000007,8.4,15.7,23.0,23.0,51.15
2022-01-20,1380,738.0,8.8,14.4,19.2,34.5,27.1
2022-01-21,1020,450.0,12.8,18.2,22.5,38.9,47.45
2022-01-23,360,203.20000000000073,5.6,7.2,12.5,32.3,
2022-01-24,1380,868.7999999999993,12.7,22.3,34.7,27.4,71.5
2022-01-25,1380,510.2000000000007,14.5,22.8,48.0,61.4,69.7
2022-01-26,1380,795.2999999999993,11.7,23.0,25.8,52.25,22.2
2022-01-27,1380,529.0,15.8,27.2,32.0,56.5,45.85
2022-01-28,1020,611.0,16.0,19.8,58.0,47.8,75.45
2022-01-30,360,147.59999999999854,6.2,7.2,17.4,19.0,
2022-01-31,1380,515.0,6.2,11.8,17.8,15.75,32.0
2022-02-01,1380,419.7999999999993,6.3,9.5,13.5,18.6,32.1
2022-02-02,1380,508.5,6.4,12.6,16.4,24.4,28.9
2022-02-03,1380,413.7999999999993,7.6,10.0,14.3,20.8,37.4
2022-02-04,1020,463.0,11.3,20.0,31.2,63.3,34.15
2022-02-06,360,117.0,4.8,9.5,14.8,34.0,
2022-02-07,1380,294.7000000000007,6.6,10.6,12.8,22.15,27.9
2022-02-08,1380,352.5,6.0,10.5,14.0,26.7,20.7
2022-02-09,1380,310.0,4.2,6.3,10.6,16.65,21.85
2022-02-10,1380,477.5,6.0,9.7,16.5,22.75,52.5
2022-02-11,1020,585.7999999999993,10.8,16.6,23.6,39.55,38.8
2022-02-13,360,104.79999999999927,5.6,7.3,18.0,21.6,
2022-02-14,1380,363.0,7.7,13.2,16.5,26.8,38.6
2022-02-15,1379,391.59999999999854,5.3,10.3,12.0,19.7,16.0
2022-02-16,1380,287.5,5.3,7.7,11.3,17.15,14.2
2022-02-17,1380,455.40000000000146,6.5,12.0,14.8,28.85,27.2
2022-02-18,1020,381.59999999999854,7.0,13.2,18.8,26.15,43.7
2022-02-20,360,276.0,7.0,11.2,34.0,88.0,
2022-02-21,1140,577.2999999999993,7.2,13.0,23.6,36.65,
2022-02-22,1380,494.7000000000007,9.0,17.0,29.2,37.85,50.8
2022-02-23,1380,964.7999999999993,9.6,17.0,26.5,46.7,59.6
2022-02-24,1380,957.4000000000015,13.2,23.4,32.0,50.65,63.4
2022-02-25,1020,436.0,10.0,20.6,29.5,37.0,44.65
2022-02-27,360,271.2000000000007,8.7,17.8,30.0,30.0,
2022-02-28,1380,484.2000000000007,9.3,18.0,25.0,27.0,44.1
2022-03-01,1380,427.7999999999993,7.7,13.8,22.0,36.8,36.0
2022-03-02,1380,378.5,6.3,13.8,20.2,23.0,21.1
2022-03-03,1380,645.7999999999993,8.0,16.6,22.6,24.1,51.2
2022-03-04,1020,326.40000000000146,10.5,20.5,23.6,35.75,23.5
2022-03-06,360,235.70000000000073,6.0,10.0,13.7,31.0,
2022-03-07,1380,629.5999999999985,10.0,18.0,26.0,38.4,40.45
2022-03-08,1380,562.7999999999993,13.0,21.0,21.7,54.35,92.35
2022-03-09,1380,567.7999999999993,9.5,13.6,23.6,19.1,25.3
2022-03-10,1380,326.0,7.7,13.8,22.5,27.25,35.65
2022-03-11,1020,579.0,9.7,16.0,27.7,37.1,42.05
2022-03-13,360,125.29999999999927,5.3,12.8,7.6,28.0,
2022-03-14,1380,432.0,8.5,13.0,17.7,28.2,21.2
2022-03-15,1380,544.0,7.6,15.0,15.8,24.55,56.75
2022-03-16,1380,574.2999999999993,6.8,15.0,21.0,23.85,43.5
2022-03-17,1380,313.5,7.0,12.8,14.5,36.95,37.4
2022-03-18,1020,465.7999999999993,5.8,8.0,12.5,13.5,22.75
2022-03-20,360,94.0,3.3,8.5,10.7,15.2,
2022-03-21,1380,283.0,5.5,8.2,16.4,15.05,69.95
2022-03-22,1380,389.7999999999993,5.5,11.0,11.3,16.7,33.35
2022-03-23,1380,241.20000000000073,4.7,9.5,12.4,17.4,25.4
