date,year,prev_close,prev_range,day_open,clow15,chigh15,entry15,clow20,chigh20,entry20,clow30,chigh30,entry30,exit1545
2021-07-14,2021,17811.25,161.25,17915.0,17882.75,17937.5,17899.5,17881.0,17937.5,17886.25,17881.0,17937.5,17891.25,17867.5
2021-07-15,2021,17840.5,134.0,17839.0,17741.75,17848.25,17759.5,17741.75,17848.25,17814.75,17741.75,17848.25,17838.5,17723.25
2021-07-16,2021,17736.5,194.0,17775.75,17772.5,17815.5,17776.75,17760.75,17815.5,17770.75,17748.75,17815.5,17762.75,17616.25
2021-07-19,2021,17619.25,213.5,17474.75,17435.5,17516.5,17514.5,17435.5,17519.5,17482.75,17417.25,17519.5,17429.5,17423.5
2021-07-20,2021,17499.5,129.5,17537.5,17462.75,17546.75,17481.5,17462.75,17546.75,17523.0,17462.75,17546.75,17531.75,17709.5
2021-07-21,2021,17664.5,265.75,17648.0,17638.25,17693.5,17678.5,17638.25,17693.5,17667.0,17638.25,17703.5,17701.75,17739.5
2021-07-22,2021,17774.0,140.25,17786.0,17785.5,17840.75,17834.0,17785.5,17840.75,17816.0,17785.5,17840.75,17824.25,17860.75
2021-07-23,2021,17875.0,91.25,17931.75,17880.25,17940.0,17898.75,17880.25,17940.0,17923.75,17880.25,17940.0,17922.5,18053.25
2021-07-26,2021,18044.75,183.0,18021.5,17986.25,18036.5,18031.0,17986.25,18039.5,18032.0,17986.25,18047.25,18045.25,18048.5
2021-07-27,2021,18063.0,93.75,18051.25,17996.25,18053.0,17998.75,17996.25,18053.0,18002.75,17982.75,18053.0,17988.75,17854.75
2021-07-28,2021,17896.25,332.75,17944.25,17847.5,17968.25,17854.5,17847.5,17968.25,17863.5,17847.5,17968.25,17924.5,17974.75
2021-07-29,2021,17952.0,173.0,17929.25,17928.25,18015.75,18002.75,17928.25,18025.5,18011.5,17928.25,18025.5,18000.5,17997.5
2021-07-30,2021,17981.25,101.75,17815.0,17812.0,17868.0,17859.75,17812.0,17884.0,17872.75,17812.0,17899.0,17894.25,17891.5
2021-08-02,2021,17900.75,114.0,17973.75,17896.75,17990.5,17901.0,17886.25,17990.5,17904.75,17881.75,17990.5,17922.0,17886.0
2021-08-03,2021,17900.75,119.25,17932.0,17897.75,17944.5,17925.75,17897.75,17954.75,17930.25,17849.25,17954.75,17850.75,17979.75
2021-08-04,2021,17990.0,201.0,17990.75,17979.75,18013.0,18000.75,17979.75,18015.5,17989.5,17964.5,18015.5,18002.5,18027.0
2021-08-05,2021,18015.0,111.0,18047.5,18019.0,18060.75,18050.0,18019.0,18074.0,18064.25,18019.0,18074.75,18070.75,18094.0
2021-08-06,2021,18112.25,99.25,18055.25,18050.5,18096.0,18072.0,18049.75,18096.0,18063.5,18045.0,18096.0,18057.5,18031.0
2021-08-09,2021,18042.25,102.75,18061.5,18015.0,18084.75,18039.75,18015.0,18084.75,18055.75,18015.0,18084.75,18055.5,18071.25
2021-08-10,2021,18068.75,76.5,18090.5,18062.75,18099.75,18086.5,18062.75,18099.75,18088.0,18062.75,18099.75,18093.25,17984.0
2021-08-11,2021,17992.25,162.75,18044.25,18007.5,18065.0,18017.0,17993.25,18065.0,18006.5,17993.25,18065.0,18003.25,17958.75
2021-08-12,2021,17967.75,156.0,17945.5,17898.25,17951.5,17904.5,17892.5,17951.5,17923.5,17892.5,17951.5,17921.0,18029.25
2021-08-13,2021,18022.25,149.25,18035.0,18014.25,18041.5,18020.5,18014.25,18052.75,18046.5,18014.25,18054.5,18045.5,18062.75
2021-08-16,2021,18072.25,73.5,18025.75,18022.5,18058.25,18039.5,18012.75,18058.25,18021.5,17967.75,18058.25,17977.5,18053.0
2021-08-17,2021,18080.0,219.75,17963.0,17917.5,17985.5,17976.25,17917.5,17988.25,17978.5,17901.0,17988.25,17922.5,17906.0
2021-08-18,2021,17946.5,161.0,17924.75,17911.0,17957.0,17934.0,17911.0,17957.0,17941.25,17911.0,17982.0,17969.5,17861.5
2021-08-19,2021,17802.25,195.0,17720.5,17709.75,17781.75,17746.75,17709.75,17781.75,17742.0,17709.75,17781.75,17748.25,17881.25
2021-08-20,2021,17875.0,235.25,17919.5,17905.0,17942.0,17937.5,17905.0,17977.75,17956.25,17905.0,17991.5,17987.25,18036.25
2021-08-23,2021,18029.5,141.0,18073.0,18070.75,18140.0,18130.5,18070.75,18143.75,18143.5,18070.75,18154.5,18149.5,18261.0
2021-08-24,2021,18252.25,212.75,18279.25,18259.0,18299.75,18290.75,18259.0,18299.75,18284.0,18259.0,18299.75,18278.5,18300.0
2021-08-25,2021,18302.0,67.5,18311.25,18306.75,18343.0,18331.25,18306.75,18343.0,18330.75,18306.75,18343.0,18323.25,18328.5
2021-08-26,2021,18308.5,64.0,18281.5,18281.0,18306.0,18296.0,18281.0,18308.25,18299.0,18280.25,18308.25,18280.75,18226.0
2021-08-27,2021,18219.75,109.75,18247.0,18230.25,18278.5,18248.75,18230.25,18278.5,18249.5,18230.25,18278.5,18253.25,18384.0
2021-08-30,2021,18370.5,163.75,18401.5,18401.25,18462.5,18451.0,18401.25,18462.5,18457.0,18401.25,18476.0,18475.25,18551.75
2021-08-31,2021,18545.25,162.5,18553.5,18477.25,18555.25,18493.5,18477.25,18555.25,18503.0,18469.25,18555.25,18471.0,18532.75
2021-09-01,2021,18530.5,91.5,18576.0,18568.0,18618.25,18616.0,18568.0,18641.25,18641.0,18568.0,18645.0,18616.75,18571.25
2021-09-02,2021,18557.5,96.0,18614.25,18597.75,18626.75,18610.25,18597.75,18628.0,18619.25,18589.0,18628.0,18595.75,18535.5
2021-09-03,2021,18551.0,130.25,18501.75,18500.25,18556.0,18534.25,18500.25,18556.0,18533.25,18500.25,18589.75,18586.5,18599.75
2021-09-06,2021,18598.5,115.5,18634.5,18632.75,18637.0,18636.5,18632.75,18642.0,18641.75,18632.75,18649.0,18648.75,18647.25
2021-09-07,2021,18647.25,21.0,18601.0,18571.5,18614.75,18600.5,18571.5,18614.75,18584.25,18559.5,18614.75,18588.75,18625.5
2021-09-08,2021,18619.25,94.75,18612.0,18560.25,18613.25,18564.0,18560.25,18613.25,18571.75,18558.0,18613.25,18581.0,18550.75
2021-09-09,2021,18568.75,143.5,18576.5,18568.0,18616.5,18616.0,18568.0,18621.75,18604.75,18568.0,18621.75,18604.75,18541.5
2021-09-10,2021,18510.0,120.5,18583.5,18583.25,18614.0,18600.75,18583.25,18614.0,18598.25,18583.25,18614.0,18601.75,18413.25
2021-09-13,2021,18391.25,234.5,18481.5,18386.25,18499.75,18392.0,18375.75,18499.75,18392.0,18370.5,18499.75,18381.25,18345.0
2021-09-14,2021,18373.25,214.75,18435.0,18402.5,18466.5,18411.75,18402.5,18466.5,18408.75,18369.75,18466.5,18374.25,18311.0
2021-09-15,2021,18325.0,179.75,18347.25,18273.5,18375.75,18284.5,18273.5,18375.75,18317.25,18273.5,18375.75,18298.75,18456.75
2021-09-16,2021,18439.5,206.75,18384.0,18356.0,18415.0,18370.5,18352.25,18415.0,18354.5,18329.5,18415.0,18351.25,18454.25
2021-09-17,2021,18452.5,173.75,18426.0,18350.25,18427.25,18365.0,18346.0,18427.25,18350.0,18326.25,18427.25,18345.25,18267.75
2021-09-20,2021,18264.25,208.75,18018.25,17977.5,18084.75,18082.25,17977.5,18093.5,18057.0,17977.5,18093.5,18049.0,17865.75
2021-09-21,2021,17946.75,343.75,18024.5,17971.0,18040.0,18023.5,17971.0,18074.0,18065.75,17971.0,18074.0,18009.75,18006.0
2021-09-22,2021,17960.75,157.25,18004.25,17957.0,18013.25,17963.75,17957.0,18013.25,17973.75,17957.0,18019.75,18019.0,18127.75
2021-09-23,2021,18104.0,212.25,18153.0,18124.25,18209.75,18201.0,18124.25,18223.75,18223.5,18124.25,18239.0,18217.5,18258.5
2021-09-24,2021,18241.75,165.0,18148.75,18132.0,18185.0,18175.0,18132.0,18185.0,18145.0,18132.0,18194.75,18189.75,18266.75
2021-09-27,2021,18258.0,144.5,18127.5,18026.25,18156.75,18050.25,18026.25,18156.75,18066.75,18026.25,18156.75,18065.5,18154.75
2021-09-28,2021,18136.5,146.75,17943.75,17870.75,17971.25,17870.5,17854.0,17971.25,17855.25,17849.25,17971.25,17893.25,17741.75
2021-09-29,2021,17706.5,288.25,17760.0,17729.75,17794.5,17737.5,17729.75,17811.75,17812.0,17729.75,17845.5,17825.25,17717.75
2021-09-30,2021,17684.5,195.25,17752.0,17749.0,17814.25,17780.0,17749.0,17814.25,17808.25,17749.0,17821.0,17784.0,17674.0
2021-10-01,2021,17618.0,208.5,17652.25,17573.25,17677.75,17573.5,17565.5,17677.75,17587.25,17549.0,17677.75,17572.0,17727.75
2021-10-04,2021,17712.75,281.0,17646.5,17532.25,17662.25,17538.5,17513.75,17662.25,17519.5,17509.75,17662.25,17535.75,17391.25
2021-10-05,2021,17410.25,352.25,17449.25,17439.75,17515.5,17481.25,17439.75,17518.0,17517.5,17439.75,17539.75,17523.25,17640.5
2021-10-06,2021,17600.75,257.25,17464.25,17453.75,17580.75,17572.75,17453.75,17580.75,17529.0,17453.75,17580.75,17480.75,17644.0
2021-10-07,2021,17696.25,281.25,17824.5,17801.5,17891.0,17871.25,17801.5,17891.0,17853.25,17801.5,17898.25,17897.5,17841.0
2021-10-08,2021,17828.75,142.0,17875.5,17790.25,17885.25,17831.0,17790.0,17885.25,17832.25,17788.0,17885.25,17791.5,17755.5
2021-10-11,2021,17753.25,152.25,17690.5,17664.25,17769.25,17767.0,17664.25,17791.0,17790.0,17664.25,17803.0,17801.25,17684.5
2021-10-12,2021,17642.0,201.0,17702.0,17631.25,17721.25,17633.75,17599.75,17721.25,17627.25,17599.75,17721.25,17603.25,17572.5
2021-10-13,2021,17592.25,157.5,17689.0,17660.25,17721.0,17699.25,17660.25,17721.0,17664.0,17635.25,17721.0,17657.75,17687.5
2021-10-14,2021,17708.5,135.25,17861.5,17832.75,17893.25,17867.75,17832.75,17896.0,17883.0,17832.75,17899.75,17887.25,17965.0
2021-10-15,2021,17979.25,158.25,18031.0,17991.5,18041.5,18003.0,17991.5,18041.5,18013.25,17991.5,18041.5,18020.25,18052.75
2021-10-18,2021,18077.5,91.75,18018.75,17994.25,18060.0,18053.25,17994.25,18077.75,18077.0,17994.25,18090.0,18080.25,18222.25
2021-10-19,2021,18228.5,242.25,18272.75,18244.25,18296.75,18264.75,18244.25,18300.0,18288.0,18244.25,18300.0,18265.25,18324.25
2021-10-20,2021,18342.25,101.75,18362.0,18344.5,18377.25,18361.25,18344.5,18377.25,18376.0,18339.5,18381.25,18348.25,18316.0
2021-10-21,2021,18325.25,127.5,18288.75,18276.25,18321.0,18316.5,18276.25,18326.75,18315.5,18276.25,18336.5,18322.5,18400.25
