i,epoch,et_date,trade_date,year,et_min,side,E,atr,sym,arr3,arr5,arr10,arr15,eff10,accel,dep_bars,fresh_bars,rv60,brk0_t,brk5_t,ret_p35_t,maxret_prebrk5,maxret_t,hold_p20_b0,hold_p20_b5,hold_p35_b0,hold_p35_b5,hold_p50_b0,hold_p50_b5,hold_a15_b0,hold_a15_b5,hold_a25_b0,hold_a25_b5,burst30,burst60
846704,1684408740,2023-05-18,2023-05-18,2023,439,1,13683.2,170.48214285714286,NQM3,0.0422331622499257,0.046925735833246,0.0527914528124018,0.0410600188540902,0.5478260869566318,0.0072902482455227,240,32,0.4874410809677707,0,0,91,51.70000000000073,107,1,1,1,1,1,1,1,1,1,1,0.027862155650989838,0.027862155650989838
846765,1684412400,2023-05-18,2023-05-18,2023,500,-1,13665.2,170.48214285714286,NQM3,0.0252225830103654,0.0504451660207309,0.0574840263957221,0.046925735833246,0.7142857142857968,0.0022345588492021,240,240,0.4563527809783135,2,10,78,6.0,9,0,0,0,0,0,0,0,0,0,0,0.020530009427045144,0.02492929716141196
846783,1684413480,2023-05-18,2023-05-18,2023,518,-1,13652.8,170.48214285714286,NQM3,0.0510317377186593,0.0158374358437248,0.0891588980831717,0.0686288886561266,0.4201183431952968,0.0096086030515708,240,4,0.5812925526343055,1,13,58,11.200000000000728,8,0,0,0,0,0,0,0,0,0,0,0.06159002828113543,0.05865716979155756
846802,1684414620,2023-05-18,2023-05-18,2023,537,-1,13641.0,170.48214285714286,NQM3,0.0557243113019796,0.0205300094270451,0.106756049020639,0.0997171886456478,0.5594405594405879,0.0069829964037548,240,4,0.7226563318319507,1,9,36,7.799999999999272,6,0,0,0,0,0,0,0,0,0,0,0.042526448098879226,0.046925735833246045
846840,1684416900,2023-05-18,2023-05-18,2023,575,1,13686.0,170.48214285714286,NQM3,0.0909186131769142,0.1261129150518487,0.1965015188017178,0.1877029433329841,0.817610062893007,0.0005586397123005,28,136,0.9056667015816572,1,2,0,10.200000000000728,1,0,0,0,0,0,0,0,0,0,0,0.06159002828113543,0.09531790091128103
846862,1684418220,2023-05-18,2023-05-18,2023,597,1,13717.5,170.48214285714286,NQM3,0.0791871792186027,0.0862260395935938,0.0510317377186593,0.093851471666492,0.1978021978021901,0.0274850738451863,25,8,1.2235885618519462,1,9,0,17.0,4,0,0,0,0,0,0,0,0,0,0,0.06745574526029119,0.09531790091128103
846882,1684419420,2023-05-18,2023-05-18,2023,617,1,13744.8,170.48214285714286,NQM3,0.0856394678956655,0.0445794490415752,0.093851471666492,0.2217241018120833,0.4254143646409584,0.0262002025068944,27,6,1.345008903320453,1,3,0,10.599999999998545,1,0,0,0,0,0,0,0,0,0,0,0.060123599036346495,0.07038860374986906
846899,1684420440,2023-05-18,2023-05-18,2023,634,1,13791.5,170.48214285714286,NQM3,0.0205300094270451,0.1055829056248036,0.1554414999476275,0.2991515659369435,0.6901408450704225,-0.016340211584791,15,2,1.498690688174317,26,27,0,33.5,11,1,1,0,0,0,0,1,1,0,0,0.05425788205719074,0.09238504242170315
846925,1684422000,2023-05-18,2023-05-18,2023,660,1,13793.5,170.48214285714286,NQM3,0.0909186131769142,0.0557243113019796,0.083879752801923,0.2053000942704514,0.2857142857142639,0.0299430885793085,40,26,1.5438567089137565,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.042526448098879226,0.060123599036346495
846953,1684423680,2023-05-18,2023-05-18,2023,688,1,13827.2,170.48214285714286,NQM3,0.1173143395831151,0.0803603226144381,0.0744946056352823,0.0762543207290248,0.2354124748491057,0.0432666457176768,30,18,1.5039698334555016,1,15,46,14.400000000001455,3,0,0,0,0,0,0,0,0,0,0,0.04545930658845711,0.0527914528124018
846969,1684424640,2023-05-18,2023-05-18,2023,704,1,13836.8,170.48214285714286,NQM3,0.0504451660207309,0.0879857546873363,0.1208337697706,0.0915051848748212,0.3939393939393939,-0.0081002758283579,44,1,1.451178380643121,2,2,23,7.299999999999272,1,0,0,0,0,0,0,0,0,0,0,0.0527914528124018,0.06892217450508013
847100,1684432500,2023-05-18,2023-05-18,2023,835,-1,13772.8,170.48214285714286,NQM3,0.083293181104016,0.0686288886561266,0.0645228867707133,0.1888760867288196,0.2134146341463225,0.0226249083481742,27,240,1.362019482560035,2,2,52,6.700000000000728,1,0,0,0,0,0,0,0,0,0,0,0.042526448098879226,0.051325023567612864
847181,1684437360,2023-05-18,2023-05-18,2023,916,1,13840.5,170.48214285714286,NQM3,0.0721483188436115,0.0897454697810788,0.1525086414580496,0.1349114905205823,0.6779661016948874,0.0086589155406564,46,203,1.0094898921127398,2,3,0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.03959358960930135,0.06745574526029119
847205,1684438800,2023-05-18,2023-05-18,2023,940,1,13863.2,170.48214285714286,NQM3,0.1173143395831151,0.0668691735623841,0.1008903320414832,0.1771446527705081,0.4316939890710784,0.0387137320624245,32,21,1.170210537341552,2,3,0,6.0,1,0,0,0,0,0,0,0,0,0,0,0.07185503299465801,0.0791871792186027
847244,1684441140,2023-05-18,2023-05-18,2023,979,1,13901.8,170.48214285714286,NQM3,0.0398868754582548,0.0545511679061442,0.0680423169581982,0.0739080339373539,0.8620689655173496,0.006145036835308,39,28,1.0968890751020837,17,19,0,9.299999999999272,10,0,0,0,0,0,0,0,0,0,0,0.019063580182256207,0.03226144338535666
847261,1684442160,2023-05-18,2023-05-18,2023,996,1,13903.5,170.48214285714286,NQM3,0.0293285848957787,0.0322614433853566,0.0451660207395035,0.0263957264062009,0.4379084967320945,0.0055584651373898,56,17,0.922677280821196,2,11,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0.01613072169267833,0.023462867916623022
847292,1684447620,2023-05-18,2023-05-19,2023,1087,1,13925.5,178.89285714285714,NQM3,0.1213016570173728,0.1213016570173728,0.0821720902375764,0.0866440407266919,0.3858267716535403,0.046023823783857,83,20,0.5629067678179318,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.08664404072669196,0.09782391694949091
847486,1684459260,2023-05-18,2023-05-19,2023,1281,-1,13923.8,178.89285714285714,NQM3,0.0301856658015653,0.0447195048911958,0.0525454182471632,0.0558993811139948,0.7454545454548581,0.0046316630065894,240,240,0.3359552804951006,1,10,0,3.700000000000728,7,0,0,0,0,0,0,0,0,0,0,0.030744659612697147,0.029347175084847275
847502,1684460220,2023-05-18,2023-05-19,2023,1297,-1,13914.5,178.89285714285714,NQM3,0.0262727091235816,0.0279496905569974,0.065402275903378,0.0586943501696945,0.7179487179486641,0.0022359752445611,240,1,0.3286883609502651,0,0,0,28.299999999999272,108,1,1,0,0,0,0,1,1,0,0,0.019564783389898185,0.030744659612697147
847555,1684463400,2023-05-18,2023-05-19,2023,1350,1,13936.8,178.89285714285714,NQM3,0.0212417648233139,0.0268317029347134,0.0352166101018126,0.0547813934917108,0.5913978494626432,0.0035935316430425,240,240,0.346017169095636,1,15,0,1.7999999999992724,7,0,0,0,0,0,0,0,0,0,0,0.013974845278498703,0.018167298862048313
