sm,n,mean_r,std_r,mabs_r,tstat,mean_2021,mean_2022,mean_2023,mean_2024,mean_2025,mean_2026,et
86,1408,0.053196022727276346,3.4154588423256382,2.115269886363615,0.5844285640755574,0.1798449612403439,-0.0038759689922198606,-0.14767441860470193,0.18953488372087948,0.18759689922486825,-0.2516949152542435,19:26
87,1407,-0.00042643923238507676,2.939392496321607,1.9263681592040147,-0.005441850674364659,0.12131782945736153,-0.13268482490268976,-0.10116279069765467,0.0003875968992896694,-0.08449612403100493,0.4237288135593529,19:27
88,1408,-0.02542613636362551,3.270059352776408,1.9913352272726959,-0.29176021067657504,-0.12432432432432713,-0.12412451361872517,0.08132295719852002,0.27567567567569534,-0.49844961240302466,0.5474576271185084,19:28
89,1408,0.03281249999998243,3.374423778935267,1.9788352272727252,0.3648724101101145,0.0015444015443650241,-0.40310077519378434,0.01445312499997442,-0.008880308880320117,0.30542635658904577,0.5898305084747181,19:29
90,1408,-0.03210227272725774,4.283007600177308,2.62201704545455,-0.28124723555446624,-0.036821705426328386,-0.1422480620155067,0.05291828793775168,0.34285714285714003,-0.30542635658908807,-0.19152542372883205,19:30
91,1409,-0.17402413058908112,3.6343903150049894,2.2384669978708125,-1.797353090671733,0.025193798449626503,-0.15891472868214235,0.14457364341080758,-0.37104247104245136,-0.17015503875972376,-0.9152542372882281,19:31
92,1410,0.09829787234044772,3.556190877422382,2.2148936170212945,1.037931303851998,0.11621621621615441,-0.15968992248053837,0.22868217054264975,-0.09961389961388276,0.2131782945736434,0.5211864406781203,19:32
93,1409,0.08296664300917837,3.2451799928900997,2.0240596167494505,0.9596662570672574,0.07915057915060725,0.16937984496110212,-0.01821705426359691,-0.06511627906984922,0.24496124031006625,0.09322033898298919,19:33
94,1409,-0.01902058197301193,3.26484492488337,2.0123491838183223,-0.2186838643565581,-0.2436293436293099,-0.30891472868218744,-0.18527131782941225,0.027519379845040205,0.27325581395346016,0.7305084745762466,19:34
95,1410,0.028510638297852216,3.5362152577547463,2.1821276595744625,0.30274557428229437,0.07104247104243452,-0.017441860465073976,0.06007751937980266,0.0702702702701888,-0.21860465116278224,0.4152542372881356,19:35
96,1409,-0.02320794889990889,3.6924347782945888,2.1005677785663495,-0.2359279658441461,0.15907335907334783,-0.5794573643410289,0.15175097276268837,-0.026640926640918213,-0.010465116279058486,0.3915254237288197,19:36
97,1409,0.04272533711852946,3.303793541287531,2.1162526614620396,0.48543165680713857,0.03320463320465568,-0.03914728682171389,0.15603112840462113,-0.12471042471037977,0.36782945736438905,-0.3474576271187057,19:37
98,1408,-0.13984374999997262,3.593623492400272,2.0137073863636203,-1.4601982212100248,-0.31891891891889923,-0.1767441860464778,-0.04941634241239757,-0.007364341085248757,-0.21395348837208175,0.009322033898323583,19:38
99,1407,-0.07277896233125389,3.2026583035250247,1.9597725657427005,-0.8523977650153505,0.12432432432429905,-0.2375968992249021,-0.09687500000009663,-0.12364341085273292,-0.014341085271391153,-0.10932203389825576,19:39
100,1409,0.019801277501785668,3.3640585116081065,2.084811923349914,0.220945502578016,0.07451737451735767,0.10581395348838338,-0.0743190661478401,-0.1455598455597641,0.03372093023254686,0.24915254237283202,19:40
101,1410,-0.009503546099294392,3.3804624985182308,2.010070921985847,-0.10556479766355469,0.12702702702708882,0.03217054263567019,-0.17596899224806767,-0.07413127413137527,0.2108527131783284,-0.3762711864407211,19:41
102,1410,0.1716312056737537,3.27655168678742,2.018581560283686,1.9669294660031884,-0.04015444015445982,0.23682170542635095,0.04573643410848201,-0.07760617760615794,0.5406976744185764,0.5093220338984161,19:42
103,1409,0.0694819020582319,2.959879311240648,1.904116394606133,0.8811567899778858,0.13011583011581887,-0.2077519379844623,-0.07042801556409758,0.17258687258688946,0.28837209302328964,0.14237288135595685,19:43
104,1409,0.06572036905606451,3.1198276478101596,1.9510290986515026,0.7907239399110437,0.02702702702698489,0.2852713178294376,-0.0910505836575932,0.1945945945946002,0.06162790697682033,-0.261864406779735,19:44
105,1410,0.13780141843972354,3.984839637838495,2.518652482269485,1.2985312196784171,0.04015444015458623,0.1077519379844792,0.03875968992245242,0.21389961389959142,0.2961240310077012,0.12118644067799077,19:45
106,1410,0.1536879432624325,3.399992263518015,2.1881560283687937,1.6973500837971929,0.16061776061767072,0.013178294573691353,0.022093023255901376,0.03899613899614742,0.24728682170546584,0.7805084745763206,19:46
107,1410,-0.06269503546101458,3.4799321097626157,2.119432624113466,-0.6765064433021323,-0.03127413127411161,-0.039534883720961256,0.023643410852707537,-0.07181467181465215,0.09612403100766452,-0.6983050847458367,19:47
108,1410,0.10049645390068393,3.4588820450776385,2.117092198581567,1.0909994759486688,-0.001544401544407163,-0.018992248062021145,0.2317829457363467,0.25405405405399506,0.10736434108531644,-0.05338983050853007,19:48
109,1410,-0.036595744680847454,3.4461584799892337,1.9930496453900715,-0.3987538595542857,-0.14517374517376766,-0.02364341085272164,0.050775193798472174,0.022007722007766954,-0.0883720930232953,-0.03305084745757779,19:49
110,1410,-0.07929078014184088,3.688196169724251,2.3459574468084816,-0.8072689243752714,-0.1297297297297522,0.3127906976744073,-0.0527131782945257,-0.2992277992277852,-0.37790697674420015,0.2516949152542435,19:50
111,1410,-0.017092198581569573,3.2931562473580684,2.124042553191475,-0.19489251026921875,0.061389961389938914,-0.13410852713174912,0.10271317829448903,-0.014671814671839955,0.09147286821709093,-0.4381355932203143,19:51
112,1410,0.03985815602837705,3.6502695879875184,2.121560283687934,0.41001695791297305,0.10772200772204144,-0.1972868217054179,-0.036434108527137424,0.031660231660220424,-0.05348837209300634,0.7983050847457689,19:52
113,1409,-0.12093683463450133,3.6389924009783092,2.0731014904187446,-1.247478143232464,-0.3073643410852826,0.13100775193798167,-0.25271317829454826,0.09111969111969954,-0.3841085271318478,0.1338983050847396,19:53
114,1409,0.04804826117815653,3.0614034379245205,1.9428672817601007,0.5891319912124043,0.13720930232557293,-0.36317829457363215,0.022868217054283307,-0.02162162162163005,0.4325581395349627,0.11949152542371648,19:54
115,1410,-0.0902836879432619,3.53832481164643,2.11127659574471,-0.9581227437516315,0.05366795366800142,0.15736434108523747,-0.13333333333336717,-0.06640926640925517,-0.20000000000000845,-0.6661016949152111,19:55
116,1409,-0.05791341376863437,3.200786616571543,1.9953158268275537,-0.679169132915443,-0.03474903474904879,0.29534883720929106,0.03682170542638479,-0.0860465116278816,-0.3922480620155349,-0.29576271186444997,19:56
117,1408,0.15419034090907696,3.3697091606556455,1.996093749999982,1.7169833253425713,0.22625482625484872,-0.03062015503877943,0.1744186046511487,0.16550387596893867,0.3116731517509954,-0.01186440677973501,19:57
118,1409,0.12058197303049331,3.5594318494234227,1.9522356281050215,1.2716195616879746,0.1926640926639859,-0.10503875968994504,0.0003875968992191659,0.21389961389959142,-0.13735408560312418,1.0754237288136332,19:58
119,1410,0.013617021276627223,3.908132868774297,2.2076595744680896,0.13083452195963885,-0.10656370656365881,-0.1294573643410627,0.15542635658915574,0.15328185328187013,-0.16976744186042,0.3745762711865085,19:59
120,1403,-0.33984319315752687,6.405924443244763,4.239059158945108,-1.9871268853237154,0.22868217054266385,-0.16070038910505555,-0.5124513618677495,-0.07054263565890345,-1.7078125000000313,0.791452991452979,20:00
121,1409,-0.2628105039034539,5.627488253085247,3.589850958126345,-1.7530068711548836,-0.1289575289574784,-1.2344961240309937,-0.24341085271309088,-0.5177606177605981,0.7848837209302325,-0.2051282051282984,20:01
122,1409,0.2827537260468324,5.490917134992297,3.194322214336411,1.9329425374255642,0.25212355212349313,-0.5705426356589034,0.11395348837207046,0.214671814671795,0.3596899224806314,2.585470085470148,20:02
