name,family,h,dir,n,mean,median,q25,q75,wr,hit100,hit150,hit200,cond_minus_uncond_raw,dir_edge_vs_base,note
R2_corr_pos,rates,5,-1,850,-34.63852941176471,-23.0,-100.4375,39.0,0.3870588235294118,0.37176470588235294,0.2823529411764706,0.2211764705882353,15.747552517936104,-15.747552517936104,"corr(NQ,TLT,40d)>0.2 -> both-fall regime risk -> short"
R3_tlt_spike_up,rates,5,-1,604,-45.43004966887417,-24.0,-117.4375,33.125,0.3741721854304636,0.34271523178807944,0.26490066225165565,0.1986754966887417,26.539072775045565,-26.539072775045565,TLT 3d spike up (flight to safety) -> short
R4_tlt_dump,rates,5,-1,615,-21.03008130081301,-13.5,-66.125,44.0,0.41788617886178864,0.33983739837398375,0.25040650406504067,0.2032520325203252,2.139104406984405,-2.139104406984405,TLT 3d dump (yield spike) -> short
R5_tlt_dump_long,rates,5,1,615,21.03008130081301,13.5,-44.0,66.125,0.5772357723577236,0.3382113821138211,0.24552845528455283,0.19349593495934958,2.139104406984405,2.139104406984405,TLT 3d dump -> yields up growth -> long(test)
D1_dxy_r5_topdecile,dollar,5,-1,699,-24.909871244635195,-10.75,-74.625,47.625,0.4291845493562232,0.37625178826895567,0.2675250357653791,0.21030042918454936,6.01889435080659,-6.01889435080659,DXY 5d ret top 10% (dollar spike) -> headwind -> short
D2_dxy_r3_topdecile,dollar,5,-1,695,-22.644244604316548,-14.5,-87.625,47.625,0.4172661870503597,0.37410071942446044,0.2719424460431655,0.21726618705035972,3.7532677104879433,-3.7532677104879433,DXY 3d spike -> short
D3_dxy_z_high,dollar,5,-1,1146,-3.449607329842932,-10.75,-76.125,69.0,0.4511343804537522,0.44153577661431065,0.33420593368237345,0.2643979057591623,-15.441369563985672,15.441369563985672,DXY z>1.5 -> short
D4_dxy_r5_botdecile_long,dollar,5,1,681,14.530337738619677,8.0,-47.5,71.5,0.5491923641703378,0.36123348017621143,0.2834067547723935,0.23201174743024963,-4.360639155208927,-4.360639155208927,DXY falling (easing) -> long
V1_vix_up_nq_up,vol,5,-1,1160,-5.546120689655172,-10.0,-60.8125,47.625,0.43448275862068964,0.33189655172413796,0.24568965517241378,0.19655172413793104,-13.344856204173432,13.344856204173432,VIX rising while NQ rising (no confirm) -> pullback -> short
V2_vix_spike,vol,5,-1,726,-37.25482093663912,-18.0,-108.25,47.0,0.4228650137741047,0.44490358126721763,0.3443526170798898,0.2713498622589532,18.363844042810516,-18.363844042810516,VIX 5d spike top 10% -> short
